t_event,jump_L2,slope_left_L2,slope_right_L2,kinked
-0.09771331787109377,8.492764610353775e-11,15.684953409464022,15.68495340946929,False
0.0018685913085937519,1875.6880421996893,15.68495340946929,1884.7300619136474,True
0.0018692016601562517,1884.5843750663134,1884.7300619136474,13.072473674087385,True
0.0018710327148437518,8.666587857616448e-05,13.072473674087385,13.072429818905933,True
0.024296569824218718,0.5094322210194167,13.072429818905933,13.043330285088496,True
0.024300231933593715,0.8132267811318262,13.043330285088496,13.038483576672574,True
0.03517730712890622,2.850140294269852,13.038483576672574,12.70426539976967,True
0.035178527832031216,12.048707059361025,12.70426539976967,18.771136700955733,True
0.03543792724609373,2.483786814233312e-05,18.771136700955733,18.7711573656168,True
0.03543853759765623,22.305166943283645,18.7711573656168,15.730242278247703,True
0.03582855224609372,11.588829445425874,15.730242278247703,7.787511078611837,True
0.03582916259765622,1.5596183846432528e-05,7.787511078611837,7.787513097680541,True
