sigma,mass_frac_near_events_w0.01,density_at_wallfree_over_peak,hat_test_on_max_atom,max_atom_mass
0.1,0.2604515147307905,0.8724036551664996,746.7676766608308,1884.5843750663134
0.03,0.5306889723768159,0.2229540511099935,2103.96959154912,1884.5843750663134
0.01,0.7907764516303974,1.4383916454301711e-06,3378.1368445795842,1884.5843750663134
0.003,0.9991669712539509,1.224553182871538e-65,3731.535638516146,1884.5843750663134
0.001,0.9999999999999998,0.0,3768.232397494413,1884.5843750663134
0.0003,0.9999999999999996,0.0,3772.4761804862505,1884.5843750663134
0.0001,1.0000000000000002,0.0,3772.8499521917884,1884.5843750663134
