gene_bnumber,TB0_declared,TB1_fresh_seed_same_family,TB2_lognormal_family,TB3_absflux_rule,TB4_adversarial_max
b3735,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3736,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3737,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3738,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3739,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3732,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3733,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3734,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b3731,22.681701240154617,22.681701240187294,22.681701240183813,22.68170124021291,22.68170630582486
b0875,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b0241,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b0957,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b3875,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b2215,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b0929,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b1377,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b1319,19.079833573413218,19.079833573473948,19.07983357348335,19.07983357349414,19.07983757129309
b0431,14.288847716476127,14.288847716489954,14.288847716487517,14.288847716511292,14.28885571578055
b0432,14.288847716476127,14.288847716489954,14.288847716487517,14.288847716511292,14.28885571578055
b0430,14.288847716476127,14.288847716489954,14.288847716487517,14.288847716511292,14.28885571578055
b0429,14.288847716476127,14.288847716489954,14.288847716487517,14.288847716511292,14.28885571578055
b2285,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2283,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2286,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2276,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2281,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2277,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2278,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2279,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
b2287,12.666167133342014,12.666167133353007,12.666167133351465,12.666167133366187,12.666225971255784
