gene,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual_int,kappa_dual_all,kappa_c,kappa_v_lex,n_rxns
b3735,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3736,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3737,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3738,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3739,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3732,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3733,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3734,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b3731,11.191730180429204,11.191730180429204,11.191730180429204,0.0,0.0,0.0,2.5723422114916983,1
b0875,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,42.56249547943934,1
b0241,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,148.39591684887586,270
b0957,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,42.56249547943934,1
b3875,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,42.56249547943934,1
b2215,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,148.39591684887586,271
b0929,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,148.39591684887586,271
b1377,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,148.39591684887586,270
b1319,11.626822405654082,11.626822405654082,11.626822405654082,0.0,0.0,0.0,42.56249547943934,1
b0431,8.537035480308049,8.537035480308049,8.537035480308049,0.0,0.0,0.0,4.576592502145402,1
b0432,8.537035480308049,8.537035480308049,8.537035480308049,0.0,0.0,0.0,4.576592502145402,1
b0430,8.537035480308049,8.537035480308049,8.537035480308049,0.0,0.0,0.0,4.576592502145402,1
b0429,8.537035480308049,8.537035480308049,8.537035480308049,0.0,0.0,0.0,4.576592502145402,1
b2285,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2283,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2286,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2276,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2281,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2277,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2278,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2279,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2287,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2288,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2284,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2282,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b2280,6.994133937693704,6.994133937693704,6.994133937693704,0.0,0.0,0.0,13.367551520218486,3
b1779,2.179583668321645,2.179583668321645,2.179583668321645,0.0,0.0,0.0,77.15459630913308,2
b2926,2.179583668321645,2.179583668321645,2.179583668321645,0.0,0.0,0.0,77.15459630913308,1
b2779,1.210492377258774,1.210492377258774,1.2018086853180385,0.0,0.0,0.0,69.927776629255,1
b0755,1.210492377258774,1.210492377258774,1.2018086853180385,0.0,0.0,0.0,69.927776629255,1
b3612,1.210492377258774,1.210492377258774,1.2018086853180385,0.0,0.0,0.0,69.927776629255,1
b4395,1.210492377258774,1.210492377258774,1.2018086853180385,0.0,0.0,0.0,69.927776629255,1
b0451,2.783953105828875,2.783953105828875,2.783953105828875,0.0,0.0,0.0,6.577707005495611,1
b2417,6.234232526444729,6.234232526444729,6.234232526444729,0.02238953355787507,0.02238953355787529,0.0,25.0,6
b1101,6.234232526444729,6.234232526444729,6.234232526444729,0.0031465623957118716,0.0031465623957118716,0.0,25.0,2
b2415,6.234232526444729,6.234232526444729,6.234232526444729,0.02238953355787507,0.02238953355787529,0.0,25.0,18
b2416,6.234232526444729,6.234232526444729,6.234232526444729,0.02238953355787507,0.02238953355787529,0.0,25.0,19
b1819,6.234232526444729,6.234232526444729,6.234232526444729,0.0031465623957118716,0.0031465623957118716,0.0,25.0,5
b1817,6.234232526444729,6.234232526444729,6.234232526444729,0.0031465623957118716,0.0031465623957118716,0.0,25.0,5
b1621,6.234232526444729,6.234232526444729,6.234232526444729,0.02238953355787507,0.02238953355787529,0.0,25.0,2
b1818,6.234232526444729,6.234232526444729,6.234232526444729,0.0031465623957118716,0.0031465623957118716,0.0,25.0,5
b1761,3.153809779106375,3.153809779106375,3.153809779106375,0.0,0.0,0.0,4.178506102086779,1
b0116,7.502221258365793,7.502221258365793,7.502221258365793,0.0010488541319040867,0.0010488541319040867,0.0,16.737874960562454,3
b0115,6.831285852388856,6.831285852388856,4.875067291440885,0.0,0.0,0.0,16.737874960562454,1
b0114,6.831285852388856,6.831285852388856,4.875067291440885,0.0,0.0,0.0,16.737874960562454,1
b3916,3.4006481603754093,3.4006481603754093,3.4006481603754093,0.004165103094919021,0.004165103094919021,0.0,8.204581546455596,3
b1723,3.4006481603754093,3.4006481603754093,3.4006481603754093,0.004165103094919021,0.004165103094919021,0.0,8.204581546455596,1
b1773,2.4478684970415046,2.4478684970415046,2.4478684970415046,0.0,0.0,0.0,9.483654770157319,1
b2925,2.4478684970415046,2.4478684970415046,2.4478684970415046,0.0,0.0,0.0,9.483654770157319,2
b2097,2.4478684970415046,2.4478684970415046,2.4478684970415046,0.0,0.0,0.0,9.483654770157319,1
b3919,1.2056732898099547,1.2056732898099547,1.2056732898099547,0.0,0.0,0.0,16.933745715881273,1
b4025,3.620787775131525,3.620787775131525,3.620787775131525,0.0,0.0,0.0,9.400195767983009,1
b0720,2.1969901833760233,2.1969901833760233,1.7344278012465466,0.0,0.0,0.0,16.536827256377737,1
b0118,2.1969901833760233,2.1969901833760233,1.7344278012465466,0.0,0.0,0.0,16.536827256377737,3
b1276,2.1969901833760233,2.1969901833760233,1.7344278012465466,0.0,0.0,0.0,16.536827256377737,2
b1136,7.779356049911492,7.779356049911492,7.779356049911492,0.0,0.0,0.0,9.720229459831383,1
b4122,2.193985684440648,2.193985684440648,1.7260899822930682,0.0,0.0,0.0,16.582662655465114,2
b1611,2.193985684440648,2.193985684440648,1.7260899822930682,0.0,0.0,0.0,16.582662655465114,1
b1612,2.193985684440648,2.193985684440648,1.7260899822930682,0.0,0.0,0.0,16.582662655465114,1
b3236,4.8790401176787555,4.8790401176787555,4.8790401176787555,0.0,0.0,0.0,35.28370041568721,1
b1852,3.620787775131527,3.620787775131527,3.620787775131527,0.0,0.0,0.0,3.740457073755675,1
b0767,3.620787775131527,3.620787775131527,3.620787775131527,0.00273203653284623,0.0027320365328462573,0.0,3.740457073755675,1
b2029,3.620787775131527,3.620787775131527,3.620787775131527,0.0,0.0,0.0,3.740457073755675,1
b2501,0.9030630157604147,0.9030630157604147,0.9030630157604147,0.0,0.0,0.0,0.6921286174062319,2
b0722,2.0971879325228784,2.0971879325228784,1.4574654469730746,0.0,0.0,0.0,18.093312306355386,1
b0723,2.0971879325228784,2.0971879325228784,1.4574654469730746,0.0,0.0,0.0,18.093312306355386,1
b0724,2.0971879325228784,2.0971879325228784,1.4574654469730746,0.0,0.0,0.0,18.093312306355386,1
