t_event,jump_L2_flux,probe_d,slope_left,slope_right,delta_phi_slope,res_floor
-0.09771331787109377,8.492764610353775e-11,0.0002,-0.009316321346112091,-0.009316321269541397,7.657069422961627e-11,5e-10
0.0018685913085937519,1875.6880421996893,1.5258789062496964e-07,-0.009316298852960498,-0.009316323955014267,-2.510205376893282e-08,6.553600000001304e-07
0.0018692016601562517,1884.5843750663134,1.5258789062496964e-07,-0.00931632393985602,-0.00931632393985602,0.0,6.553600000001304e-07
0.0018710327148437518,8.666587857616448e-05,4.5776367187501735e-07,-0.009316312793493176,-0.009316323949961519,-1.1156468342904402e-08,2.1845333333332506e-07
0.024296569824218718,0.5094322210194167,9.155273437491673e-07,-0.009316328123540475,-0.009316323939864847,4.18367562815547e-09,1.0922666666676601e-07
0.024300231933593715,0.8132267811318262,9.155273437491673e-07,-0.009316319763768342,-0.009316318369209799,1.3945585432967311e-09,1.0922666666676601e-07
0.03517730712890622,2.850140294269852,3.0517578124972244e-07,-0.00931632394744397,-0.00931632394744397,0.0,3.2768000000029803e-07
0.035178527832031216,12.048707059361025,3.0517578124972244e-07,-0.009316319763768342,-0.009316303036644952,1.6727123389528864e-08,3.2768000000029803e-07
0.03543792724609373,2.483786814233312e-05,1.5258789062486122e-07,-0.009316323939794239,-0.00931633232230374,-8.382509500762247e-09,6.553600000005961e-07
0.03543853759765623,22.305166943283645,1.5258789062486122e-07,-0.009316323954952483,-0.009316315572442982,8.382509500762247e-09,6.553600000005961e-07
0.03582855224609372,11.588829445425874,1.5258789062486122e-07,-0.009316332307145495,-0.01575501163026074,-0.006438679323115244,6.553600000005961e-07
0.03582916259765622,1.5596183846432528e-05,1.5258789062486122e-07,-0.01575500680993882,-0.015755016041310042,-9.231371222995222e-09,6.553600000005961e-07
