gene,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual_int,kappa_dual_all,kappa_c,kappa_v_lex,n_rxns
b0918,0.005422821813098291,0.005422821813098291,0.0,0.0,0.0,0.0,0.00024005711360100041,1
b0096,0.005422821813098291,0.005422821813098291,0.0,0.0,0.0,0.0,0.00024005711360100047,1
b3197,0.005422821813098291,0.005422821813098291,0.0,0.0,0.0,0.0,0.00024005711360100041,1
b0181,0.005422821813098291,0.005422821813098291,0.0,0.0,0.0,0.0,0.00024005711360100047,1
b0179,0.005422821813098291,0.005422821813098291,0.0,0.0,0.0,0.0,0.00024005711360100047,1
b0085,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b0088,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b3967,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b0381,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b1278,0.003872568167721399,0.003872568167721399,0.0,0.0,0.027996663440604693,0.0,0.00012242272827263807,30
b0086,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b0092,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b3057,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,2
b0841,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,2
b3189,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b3972,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b0090,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b0087,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b0091,0.003872568167721399,0.003872568167721399,0.0,0.0,0.0,0.0,0.00012242272827263807,1
b4238,0.0037651207063239024,0.0037651207063239024,0.0,0.0,0.0,0.0,0.00011572354230981178,4
b3924,0.0037651207063239024,0.0037651207063239024,0.0,0.0,5.551115123125783e-17,0.0,0.00011572354230981178,5
b4237,0.0037651207063239024,0.0037651207063239024,0.0,0.0,0.0,0.0,0.00011572354230981178,4
b1606,0.0037397569735423963,0.0037397569735423963,0.0,0.0,0.0,0.0,0.00011416965078307811,2
b0048,0.0037397569735423963,0.0037397569735423963,0.0,0.0,0.0,0.0,0.00011416965078307811,1
b2827,0.003646524351396202,0.003646524351396202,0.0,0.0,0.0,0.0,0.00010854808036818893,1
b3640,0.003646524351396105,0.003646524351396105,0.0,0.0,0.0,0.0,0.00010854808036818893,1
b1098,0.003646524351396202,0.003646524351396202,0.0,0.0,0.0,0.0,0.00010854808036818893,1
b2251,0.003646524351396105,0.003646524351396105,0.0,0.0,7.19910242530375e-17,0.0,0.00010854808036818893,3
