kcat_value,phase_I_pass,mean_deficit,betti_0,betti_1,betti_2,euler_characteristic,shortest_1_loop_persistence,longest_1_loop_persistence,contractible
0.0,True,-0.09658515368812123,1,0,0,1,0.01133352518081665,0.016908958554267883,True
0.05,True,-0.09656047885178455,1,0,0,1,0.023795709013938904,0.032358795404434204,True
0.1,True,-0.09663902801900089,1,0,0,1,0.008730471134185791,0.020817816257476807,True
0.15000000000000002,True,-0.12316266679519439,1,0,0,1,0.01006084680557251,0.019589334726333618,True
0.2,True,-0.14465855355337556,1,0,0,1,0.005618035793304443,0.026014328002929688,True
0.25,True,-0.12848179643735244,1,0,0,1,0.0007089376449584961,0.06106945872306824,True
0.30000000000000004,True,-0.1418443636265984,1,0,0,1,0.00428047776222229,0.0431978702545166,True
0.35000000000000003,True,-0.09675082017129838,1,0,0,1,0.016214191913604736,0.03925102949142456,True
0.4,True,-0.09688917168112929,1,0,0,1,0.04279237985610962,0.04472669959068298,True
0.45,True,-0.0970406735333935,1,0,0,1,0.016652613878250122,0.045031726360321045,True
0.5,True,-0.09743623577994602,1,0,0,1,0.0028644204139709473,0.014270037412643433,True
0.55,True,-0.09786153124158314,1,0,0,1,0.004203498363494873,0.03258511424064636,True
0.6000000000000001,True,-0.0982264929175623,1,0,0,1,0.0007551014423370361,0.03136447072029114,True
0.65,True,-0.0988956730188815,1,0,0,1,0.023690998554229736,0.045950427651405334,True
0.7000000000000001,True,-0.09966996826325761,1,0,0,1,0.000878557562828064,0.034213870763778687,True
0.75,True,-0.0989937882344182,1,0,0,1,7.450580596923828e-09,0.07351838052272797,True
0.8,True,-0.11066879329814576,1,0,0,1,3.725290298461914e-09,0.04805746674537659,True
0.8500000000000001,True,-0.1029716538141845,1,0,0,1,3.725290298461914e-09,0.06158009171485901,True
0.9,True,-0.11300228164826434,1,0,0,1,1.4901161193847656e-08,0.06251560151576996,True
0.9500000000000001,True,-0.11943602244380401,1,0,0,1,5.447864532470703e-05,0.05873386561870575,True
1.0,True,-0.12596657735075067,1,0,0,1,1.4901161193847656e-08,0.05526004731655121,True
