eps,H_num_H_an_Frob_diff,det_H_num,H_num_orthogonality_err,n_crossings
0.05,4.266275406551398e-13,1.0000000000006275,8.502930092930655e-13,2
0.1,1.9727493683522638e-13,1.000000000000293,3.944227268252724e-13,2
0.2,7.126383863896543e-14,0.9999999999998889,1.4255074605905313e-13,2
0.4,2.4730662745297545e-14,1.0000000000000306,4.931453953333188e-14,2
0.8,3.7279527332268036e-13,1.0000000000006037,7.449491995097221e-13,2
