topology,eps,loop_area,H_num_H_an_Frob_diff,det_H_num,H_num_orthogonality_err,n_crossings
pentagon,0.05,0.00594410322684471,2.0860688104862612e-13,0.9999999999999181,1.1541756374227567e-13,2
pentagon,0.1,0.02377641290737884,2.557018233499041e-13,1.0000000000000389,5.503317780664316e-14,2
pentagon,0.2,0.09510565162951536,1.577653933546065e-14,1.0000000000001237,1.7161691759855595e-13,2
pentagon,0.4,0.3804226065180614,3.0723210707067737e-13,1.0000000000000342,4.4937803381315937e-14,2
pentagon,0.8,1.5216904260722457,1.369593078165922e-13,0.9999999999999153,1.0394264804841328e-13,2
circle,0.05,0.007853981633974483,4.5670496133693e-14,1.0000000000001188,1.6823688278764403e-13,2
circle,0.1,0.031415926535897934,4.990374886863969e-13,0.9999999999998016,2.7974349885859756e-13,2
circle,0.2,0.12566370614359174,4.948836978092764e-13,0.9999999999999237,1.0663856051022223e-13,2
circle,0.4,0.5026548245743669,1.5662313570859073e-13,0.9999999999999156,1.1450693018128235e-13,2
circle,0.8,2.0106192982974678,3.627140122892442e-13,1.0000000000002172,2.7113893251015386e-13,2
ellipse,0.05,0.003926990816987242,1.8044817510107435e-13,1.0000000000001301,1.8502463566038695e-13,2
ellipse,0.1,0.015707963267948967,3.5315390591693116e-13,1.0000000000000588,8.296243504657097e-14,2
ellipse,0.2,0.06283185307179587,9.792930371256537e-14,1.0000000000001028,1.4426045096341193e-13,2
ellipse,0.4,0.25132741228718347,2.167645010428166e-13,1.0000000000000824,1.1199164895722644e-13,2
ellipse,0.8,1.0053096491487339,2.475465594745271e-13,0.9999999999999414,7.396555010553764e-14,2
