t,E_t,ref_surrogate_t1_b2_D0.1_L3,R_L2_D0.1,R_L3_D0.1,R_L4_D0.1,dE_dt_abs,Lipschitz_estimate
-1.0,450.47896709704287,1.8721339251656086,30.0,30.0,30.0,0.0,1454.4808862973762
-0.95,377.754922782174,1.617930472936887,30.0,30.0,30.0,1454.4808862973762,1454.4808862973762
-0.9,314.6054030779932,1.3945489775549076,30.0,30.0,30.0,1262.990394083618,1454.4808862973762
-0.85,259.5171465182265,1.1978727085431613,30.0,30.0,30.0,1101.765131195332,1454.4808862973762
-0.8,212.0550124074395,1.0244315050749557,30.0,30.0,30.0,949.2426822157416,1454.4808862973762
-0.75,171.64897325505757,0.8713038008112793,30.0,30.0,30.0,808.120783047638,1454.4808862973762
-0.7,137.2475411850867,0.7360338526515725,30.0,30.0,2.0794415416798357,688.0286413994168,1454.4808862973762
-0.6499999999999999,108.3574887069526,0.6165809653363018,30.0,30.0,2.0794415416798357,577.8010495626817,1454.4808862973762
-0.6,84.35070153494095,0.5112905456739657,30.0,30.0,2.0794415416798357,480.13574344023345,1454.4808862973762
-0.55,64.63746538333747,0.41886169582316196,30.0,30.0,2.0794415416798357,394.26472303207015,1454.4808862973762
-0.5,48.66646596642785,0.3382899023527836,30.0,30.0,2.0794415416798357,319.4199883381921,1454.4808862973762
-0.44999999999999996,35.92478899849782,0.26878040236820094,30.0,30.0,2.0794415416798357,254.83353935860043,1454.4808862973762
-0.3999999999999999,25.93792019383309,0.20953373890164786,0.6931471805599453,1.3862943611198906,1.3862943611198906,199.73737609329436,1454.4808862973762
-0.35,18.269745266719408,0.15942010407169938,0.6931471805599453,1.3862943611198906,1.3862943611198906,153.36349854227385,1454.4808862973762
-0.29999999999999993,12.522549931442438,0.11804011399806952,0.6931471805599453,1.3862943611198906,1.3862943611198906,114.9439067055393,1454.4808862973762
-0.25,8.337019902287928,0.08486851614899618,0.6931471805599453,1.3862943611198906,1.3862943611198906,83.71060058309031,1454.4808862973762
-0.19999999999999996,5.392240893541569,0.05916655396277344,0.6931471805599453,1.3862943611198906,1.3862943611198906,58.895580174927126,1454.4808862973762
-0.1499999999999999,3.4056986194890913,0.040047165659967424,0.6931471805599453,1.3862943611198906,1.3862943611198906,39.73084548104952,1454.4808862973762
-0.09999999999999998,2.725327202151236,0.026326812714200443,-0.0,0.6931471805599453,1.3862943611198906,13.607428346757127,1454.4808862973762
-0.04999999999999993,2.795976487744358,0.016771124619958187,-0.0,0.6931471805599453,1.3862943611198906,1.4129857118624387,1454.4808862973762
0.0,2.8525040948919202,0.0107743106077379,-0.0,0.6931471805599453,1.3862943611198906,1.1305521429512504,1454.4808862973762
0.050000000000000044,2.7959764877443574,0.007763223487092049,-0.0,0.6931471805599453,1.3862943611198906,1.1305521429512566,1454.4808862973762
0.10000000000000009,2.7253272021512354,0.007228121752977354,-0.0,0.6931471805599453,1.3862943611198906,1.4129857118624387,1454.4808862973762
0.15000000000000013,2.70643370588975,0.008772848512553562,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.37786992522970986,1454.4808862973762
0.20000000000000018,2.7407866213233767,0.012395074129923998,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6870583086725363,1454.4808862973762
0.25,2.8198957307133647,0.018581988143294634,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.5821821877997666,1454.4808862973762
0.30000000000000004,2.8466265258788463,0.02810752794656475,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.5346159033096316,1454.4808862973762
0.3500000000000001,2.7718304726007865,0.04180245511078342,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.4959210655611952,1454.4808862973762
0.40000000000000013,3.129819560981991,0.06049822885961808,0.6931471805599453,0.6931471805599453,1.3862943611198906,7.159781767624083,1454.4808862973762
0.4500000000000002,4.5836038175417615,0.0850692318860122,30.0,1.3862943611198906,2.0794415416798357,29.075685131195385,1454.4808862973762
0.5,6.817339094509689,0.11703296932062934,30.0,1.3862943611198906,2.0794415416798357,44.6747055393587,1454.4808862973762
0.55,10.086111106171503,0.1574769798278422,30.0,1.3862943611198906,2.0794415416798357,65.37544023323622,1454.4808862973762
0.6000000000000001,14.683405566812908,0.2071917823378614,30.0,1.3862943611198906,2.0794415416798357,91.94588921282804,1454.4808862973762
0.6500000000000001,20.94110819071963,0.2666792203175971,30.0,1.3862943611198906,2.0794415416798357,125.15405247813429,1454.4808862973762
0.7000000000000002,29.22950469217737,0.33607024382848333,30.0,1.3862943611198906,2.0794415416798357,165.76793002915466,1454.4808862973762
0.75,39.957280785471795,0.41548259913925994,30.0,30.0,30.0,214.5555218658893,1454.4808862973762
0.8,53.57152218488872,0.5056517322258468,30.0,30.0,30.0,272.2848279883383,1454.4808862973762
0.8500000000000001,70.55771460471384,0.606793780996376,30.0,30.0,30.0,339.72384839650204,1454.4808862973762
0.9000000000000001,91.43974375923283,0.7192398702892582,30.0,30.0,30.0,417.6405830903794,1454.4808862973762
0.9500000000000002,116.77989536273141,0.8436043786693115,30.0,30.0,30.0,506.8030320699712,1454.4808862973762
1.0,147.17885512949516,0.9808890074840827,30.0,30.0,30.0,607.9791953352772,1454.4808862973762
