dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
2,k=7 axis,corners 8,0.9,40,5.954106e-04,0.901864,1.000000,True,"CONFIRMED (q=0.9019, R^2=1.0000)"
2,k=3 rotated,halton 27,0.0,40,0.000000e+00,0.504251,0.713476,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,halton 27,0.3,40,0.000000e+00,0.437768,0.991394,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,halton 27,0.5,40,9.728193e-13,0.555436,0.997849,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,halton 27,0.7,40,7.716256e-08,0.742220,0.999632,True,"CONFIRMED (q=0.7422, R^2=0.9996)"
2,k=3 rotated,halton 27,0.9,40,1.241330e-04,0.912065,0.999951,True,"CONFIRMED (q=0.9121, R^2=1.0000)"
2,k=3 rotated,random 27,0.0,40,0.000000e+00,0.501686,0.715771,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,random 27,0.3,40,1.570092e-16,0.423411,0.999752,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,random 27,0.5,40,6.111437e-11,0.587661,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,random 27,0.7,40,5.910377e-07,0.752698,1.000000,True,"CONFIRMED (q=0.7527, R^2=1.0000)"
2,k=3 rotated,random 27,0.9,40,4.581579e-04,0.917792,0.999975,True,"CONFIRMED (q=0.9178, R^2=1.0000)"
2,k=3 rotated,corners 8,0.0,40,0.000000e+00,0.494015,0.724148,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,corners 8,0.3,40,5.551115e-17,0.415680,0.999443,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,corners 8,0.5,40,2.496783e-11,0.565780,0.998432,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 rotated,corners 8,0.7,40,2.986463e-07,0.715594,0.999726,True,"CONFIRMED (q=0.7156, R^2=0.9997)"
2,k=3 rotated,corners 8,0.9,40,8.697310e-04,0.902365,1.000000,True,"CONFIRMED (q=0.9024, R^2=1.0000)"
2,k=7 rotated,halton 27,0.0,40,0.000000e+00,1.000000,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,halton 27,0.3,40,4.323983e-22,0.294998,0.999636,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,halton 27,0.5,40,2.573573e-13,0.500000,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,halton 27,0.7,40,7.318808e-08,0.700000,1.000000,True,"CONFIRMED (q=0.7000, R^2=1.0000)"
2,k=7 rotated,halton 27,0.9,40,4.279273e-04,0.900000,1.000000,True,"CONFIRMED (q=0.9000, R^2=1.0000)"
