reaction_id,kappa_V_real,raw_F,fisher_dist,viability_margin,constraint_violation_rate,natural_grad,random_curvature,recovery_margin_erosion,V_traj_final
M1a,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.03196215821855216,0.005907256241384995,0.994092743758615
M1b,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.02609890883236711,0.005907256241384995,0.994092743758615
M2a,0.12630915233739695,0.23416627187786698,4.157387109386225,0.1852955077291082,0.0,0.08242379064446073,0.022137357215636786,0.1852746081365968,0.8147253918634032
M2b,0.12630915233739695,0.23416627187786698,4.157387109386225,0.1852955077291082,0.0,0.08242379064446073,0.15684070408443163,0.1852746081365968,0.8147253918634032
M3a,0.0019359995584219696,0.22029063352017375,0.17130501168750514,0.16560036175137413,0.0,0.00900831067090156,-0.08245556895501467,0.0,1.0586265944321371
M3b,0.0019359995584219696,0.22029063352017375,0.17130501168750514,0.16560036175137413,0.0,0.00900831067090156,-0.18487675057360756,0.0,1.0586265944321371
M4a,0.020506496129698973,0.12757215199843586,0.8515021423741183,0.11152396802802991,0.0,0.04128253539958546,-0.059751548572990004,0.04113453680709067,0.9588654631929093
M4b,0.020506496129698973,0.12757215199843586,0.8515021423741183,0.11152396802802991,0.0,0.04128253539958546,-0.03739720322998132,0.04113453680709067,0.9588654631929093
M5a,0.007122503307553791,0.22832708928248935,5.731943961300644,0.1074081464579444,0.0,0.10483502849156238,-0.112776983468866,0.0,1.090427419995856
M5b,0.007122503307553791,0.22832708928248935,5.731943961300644,0.1074081464579444,0.0,0.10483502849156238,-0.02571489467827189,0.0,1.090427419995856
M6a,0.0075288431413925655,0.1091997305348762,0.40045568738411674,0.053113641661416404,0.0,0.02659787624868261,0.20332767895985074,0.0,1.0130105268115508
M6b,0.0075288431413925655,0.1091997305348762,0.40045568738411674,0.053113641661416404,0.0,0.02659787624868261,-0.09532860809055475,0.0,1.0130105268115508
M7a,0.00825810231416163,0.036153461893634886,0.0906115817993243,0.0219832963378806,0.0,0.013011046135843486,0.04521433728772245,0.005907256241384995,0.994092743758615
M7b,0.00825810231416163,0.036153461893634886,0.0906115817993243,0.0219832963378806,0.0,0.013011046135843486,0.14992488502869356,0.005907256241384995,0.994092743758615
M8a,0.009819523935315854,0.034012387662074484,0.13785312815408718,0.018147593235646187,0.0,0.016674254580609626,0.15462473864612786,0.0016040817028725174,0.9983959182971275
M8b,0.009819523935315854,0.034012387662074484,0.13785312815408718,0.018147593235646187,0.0,0.016674254580609626,0.1509131076568416,0.0016040817028725174,0.9983959182971275
M9a,0.0052614815761054395,0.023906012537258214,0.030129445198337653,0.016210081202803157,0.0,0.006874752015106465,-0.042020452456250204,0.00590197335255116,0.9940980266474488
M9b,0.0052614815761054395,0.023906012537258214,0.030129445198337653,0.016210081202803157,0.0,0.006874752015106465,0.01709883226525286,0.00590197335255116,0.9940980266474488
M10a,1.3920556650409222e-05,0.022938783762197934,0.029264915807558866,0.1281305581044084,0.0,0.0070831063846346146,0.15970541176776468,0.0,1.1373088160313432
M10b,1.3920556650409222e-05,0.022938783762197934,0.029264915807558866,0.1281305581044084,0.0,0.0070831063846346146,-0.2753678934093448,0.0,1.1373088160313432
