a,nu,std_delta_H
0.1,0.1,0.012132368613276056
0.20769230769230768,0.1,0.034204555352842496
0.3153846153846154,0.1,0.06443186578237886
0.423076923076923,0.1,0.09932728639326141
0.5307692307692308,0.1,0.138335041248532
0.6384615384615384,0.1,0.18367045820073716
0.7461538461538461,0.1,0.2302787234001843
0.8538461538461538,0.1,0.2814545104701529
0.9615384615384615,0.1,0.335040679425979
1.0692307692307692,0.1,0.39628676271799407
1.176923076923077,0.1,0.4573934962704173
1.2846153846153847,0.1,0.5192654976751626
1.3923076923076922,0.1,0.5874967604094761
1.5,0.1,0.6490968410040019
