tau,beta,D,L,mdl,sse,kappa_V,abs_err_kappa
0.05,1.0,0.05,4,-84.71148240998731,15.282887376879085,0.2754736425461993,0.004751713715237749
0.05,1.0,0.05,8,-83.68389586109883,15.600226935859776,0.24389719072064714,0.02682473811031444
0.05,1.0,0.05,16,-83.68389586109883,15.600226935859776,0.24389719072064714,0.02682473811031444
0.05,1.0,0.05,32,-83.68389586109883,15.600226935859776,0.24389719072064714,0.02682473811031444
0.05,1.0,0.1,4,-80.78140595421594,16.532617693492973,0.2868411769174093,0.016119248086447713
0.05,1.0,0.1,8,-79.37801176580453,17.003226892117492,0.26571376955497605,0.005008159275985524
0.05,1.0,0.1,16,-79.37801176580453,17.003226892117492,0.26571376955497605,0.005008159275985524
0.05,1.0,0.1,32,-79.37801176580453,17.003226892117492,0.26571376955497605,0.005008159275985524
0.05,1.0,0.2,4,-80.0427946671262,16.778654032206667,0.2962895312729534,0.0255676024419918
0.05,1.0,0.2,8,-73.74154581516062,19.032203438692402,0.29285315774861165,0.02213122891765007
0.05,1.0,0.2,16,-73.74154581516062,19.032203438692402,0.29285315774861165,0.02213122891765007
0.05,1.0,0.2,32,-73.74154581516062,19.032203438692402,0.29285315774861165,0.02213122891765007
0.05,1.0,0.5,4,-107.29727062657932,9.72809378598804,0.25053334569509,0.020188583135871574
0.05,1.0,0.5,8,-100.96076074624885,11.042463550158905,0.2750671354531709,0.00434520662220933
0.05,1.0,0.5,16,-100.96076074624885,11.042463550158905,0.2750671354531709,0.00434520662220933
0.05,1.0,0.5,32,-100.96076074624885,11.042463550158905,0.2750671354531709,0.00434520662220933
0.05,5.0,0.05,4,-115.74352152240968,8.21607785076418,0.14068424161096188,0.1300376872199997
0.05,5.0,0.05,8,-107.61403121043942,9.666659059110003,0.1017928705309288,0.1689290583000328
0.05,5.0,0.05,16,-107.61403121043942,9.666659059110003,0.1017928705309288,0.1689290583000328
0.05,5.0,0.05,32,-107.61403121043942,9.666659059110003,0.1017928705309288,0.1689290583000328
0.05,5.0,0.1,4,-114.5346503194081,8.417142264655215,0.15972305184455507,0.11099887698640651
0.05,5.0,0.1,8,-108.1931313126471,9.555345654487308,0.12360482626527995,0.1471171025656816
0.05,5.0,0.1,16,-108.1931313126471,9.555345654487308,0.12360482626527995,0.1471171025656816
0.05,5.0,0.1,32,-108.1931313126471,9.555345654487308,0.12360482626527995,0.1471171025656816
0.05,5.0,0.2,4,-110.47671751584012,9.128752321155037,0.2036157534603285,0.06710617537063307
0.05,5.0,0.2,8,-106.33151036769173,9.917820318389069,0.16240824314896685,0.10831368568199473
0.05,5.0,0.2,16,-106.33151036769173,9.917820318389069,0.16240824314896685,0.10831368568199473
0.05,5.0,0.2,32,-106.33151036769173,9.917820318389069,0.16240824314896685,0.10831368568199473
0.05,5.0,0.5,4,-70.18473243403783,20.435400792452175,0.34879385989346756,0.07807193106250598
0.05,5.0,0.5,8,-68.42675162182849,21.166682094563225,0.31075361334980084,0.04003168451883926
0.05,5.0,0.5,16,-68.42675162182849,21.166682094563225,0.31075361334980084,0.04003168451883926
0.05,5.0,0.5,32,-68.42675162182849,21.166682094563225,0.31075361334980084,0.04003168451883926
0.05,10.0,0.05,4,-114.74032070800867,8.382590238250922,0.1132815955936205,0.15744033323734108
0.05,10.0,0.05,8,-104.82626389521364,10.22093533487683,0.06695673261873564,0.20376519621222594
0.05,10.0,0.05,16,-104.82626389521364,10.22093533487683,0.06695673261873564,0.20376519621222594
0.05,10.0,0.05,32,-104.82626389521364,10.22093533487683,0.06695673261873564,0.20376519621222594
0.05,10.0,0.1,4,-116.74592082098559,8.053002168697596,0.13502861115972795,0.13569331767123363
0.05,10.0,0.1,8,-108.25365412876916,9.543786323370714,0.09191924936310679,0.17880267946785477
0.05,10.0,0.1,16,-108.25365412876916,9.543786323370714,0.09191924936310679,0.17880267946785477
0.05,10.0,0.1,32,-108.25365412876916,9.543786323370714,0.09191924936310679,0.17880267946785477
0.05,10.0,0.2,4,-113.79045614841593,8.543358996354902,0.17242936398530243,0.09829256484565915
0.05,10.0,0.2,8,-109.27048143508638,9.351658898252747,0.1362165982805273,0.1345053305504343
0.05,10.0,0.2,16,-109.27048143508638,9.351658898252747,0.1362165982805273,0.1345053305504343
0.05,10.0,0.2,32,-109.27048143508638,9.351658898252747,0.1362165982805273,0.1345053305504343
0.05,10.0,0.5,4,-79.86516220223544,16.83836871553023,0.32322682508310563,0.05250489625214405
0.05,10.0,0.5,8,-79.78227096290703,16.866306932487912,0.2750708032625435,0.004348874431581939
0.05,10.0,0.5,16,-79.78227096290703,16.866306932487912,0.2750708032625435,0.004348874431581939
0.05,10.0,0.5,32,-79.78227096290703,16.866306932487912,0.2750708032625435,0.004348874431581939
0.05,50.0,0.05,4,-103.38411243099557,10.520030745897783,0.06973567064702216,0.20098625818393942
0.05,50.0,0.05,8,-97.26460742698369,11.889685148619515,0.027575277017334896,0.24314665181362669
0.05,50.0,0.05,16,-97.26460742698369,11.889685148619515,0.027575277017334896,0.24314665181362669
0.05,50.0,0.05,32,-97.26460742698369,11.889685148619515,0.027575277017334896,0.24314665181362669
0.05,50.0,0.1,4,-105.46543733729716,10.091107916862518,0.09268732942218115,0.17803459940878041
0.05,50.0,0.1,8,-99.6290213681764,11.340529055961717,0.04850701032362333,0.22221491850733824
0.05,50.0,0.1,16,-99.6290213681764,11.340529055961717,0.04850701032362333,0.22221491850733824
0.05,50.0,0.1,32,-99.6290213681764,11.340529055961717,0.04850701032362333,0.22221491850733824
0.05,50.0,0.2,4,-118.46223229169422,7.781263531892262,0.13993214831482245,0.13078978051613913
0.05,50.0,0.2,8,-110.36394621517887,9.149364782811917,0.09084639154469784,0.17987553728626374
0.05,50.0,0.2,16,-110.36394621517887,9.149364782811917,0.09084639154469784,0.17987553728626374
0.05,50.0,0.2,32,-110.36394621517887,9.149364782811917,0.09084639154469784,0.17987553728626374
0.05,50.0,0.5,4,-106.11906939543495,9.960048993692386,0.2817596807720367,0.011037751941075147
0.05,50.0,0.5,8,-102.9504828579181,10.611663446874225,0.2128223478385915,0.05789958099237008
0.05,50.0,0.5,16,-102.9504828579181,10.611663446874225,0.2128223478385915,0.05789958099237008
0.05,50.0,0.5,32,-102.9504828579181,10.611663446874225,0.2128223478385915,0.05789958099237008
0.1,1.0,0.05,4,-94.65745035323343,12.526098797620001,0.6091955188123314,0.3384735899813698
0.1,1.0,0.05,8,-93.22161466257091,12.891021809378667,0.697454856615657,0.4267329277846954
0.1,1.0,0.05,16,-93.22161466257091,12.891021809378667,0.697454856615657,0.4267329277846954
0.1,1.0,0.05,32,-93.22161466257091,12.891021809378667,0.697454856615657,0.4267329277846954
0.1,1.0,0.1,4,-96.6066641692395,12.047173825860114,0.5884039527501446,0.317682023919183
