metabolite,closure_verdict,gene_level_verdict,n_producing_reactions,n_nonessential_gene_backups,n_essential_gene_backups,baseline_prod_flux,recovery_prod_flux
dnad_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0022378429893865023,0.002237842989395163
ade_c,AUTOPOIETIC,AUTOPOIETIC,9,6,3,0.000661136229965236,0.0006611362299652557
5aprbu_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00043813782847620236,0.0004381378284761817
dhnpt_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.0006572067427142224,0.0006572067427143408
mobd_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.00012672596384177907,0.00012672596384178162
3ophb_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00021906891423811427,0.00021906891423811563
utp_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.41778603163196393,0.41778603163196304
8aonn_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,1.9647436254539256e-06,1.964743625453955e-06
kdolipid4_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.019113025988416056,0.0191130259884165
db4p_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0008762756569525823,0.0008762756569524991
aspsa_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.6858202865036518,0.6858202865036451
thmpp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00021906891423811766,0.00021906891423811801
ppp9_c,AUTOPOIETIC,HOMEOSTATIC,2,0,2,0.00021906891423811764,0.00021906891423811457
mql8_c,HOMEOSTATIC,AUTOPOIETIC,13,12,1,31.021723067218783,0.0
ugmda_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.02729814793205706,0.027298147932057294
s17bp_c,HOMEOSTATIC,AUTOPOIETIC,1,1,0,7.784185977729041,0.0
b2coa_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,0.6992129614265452,0.699212961426549
r15bp_c,OFF_PATH,AUTOPOIETIC,1,1,0,0.0,0.0
fmn_c,AUTOPOIETIC,AUTOPOIETIC,12,11,1,0.00021906891423808798,0.00021906891423808945
10fthf_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,0.9713309359238139,0.9713309359239315
3c3hmp_c,AUTOPOIETIC,HOMEOSTATIC,2,0,2,0.8851779103194002,0.8851779103194009
q8h2_c,AUTOPOIETIC,AUTOPOIETIC,17,16,1,35.14953949465202,35.14953949465209
air_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.44033637659314245,0.44033637659311786
mpt_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00023969872230538284,0.00023969872230538772
h2s_c,AUTOPOIETIC,AUTOPOIETIC,3,2,1,0.2435024659642611,0.24350246596426064
dhpmp_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.0006572067427154403,0.0006572067427141577
cobalt2_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,2.4559295318174473e-05,2.455929531817456e-05
cdpdhdec9eg_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.07388811352244698,0.07388811352244724
