test,axis_a,axis_b,angle_a,angle_b,holonomy,holonomy_ref,path_vs_single_diff
same_plane,z,z,2.0274724011588603,1.4906698395649136,2.7650430664558128,2.7650430664558128,1.5700924586837752e-16
same_plane,z,z,1.3828118051505314,2.3502228684144995,2.5501506336145554,2.550150633614556,1.5700924586837752e-16
same_plane,z,z,2.1397406311142357,1.2906823786071604,2.8527622974581903,2.85276229745819,2.5438405243138006e-16
same_plane,z,z,2.6124690630899883,2.834324787117615,0.8363914569719832,0.8363914569719829,1.9229626863835638e-16
same_plane,z,z,1.3321666426042151,2.7932983695794493,2.157720294995922,2.1577202949959227,7.021666937153402e-16
same_plane,z,z,0.3484854166860334,2.470395153947907,2.818880570633941,2.818880570633941,1.6653345369377348e-16
same_plane,z,z,0.9538625157083136,2.4832858291699984,2.8460369623012745,2.846036962301274,3.885780586188048e-16
same_plane,z,z,0.5133021293542216,1.0828073560444822,1.5961094853987037,1.5961094853987037,1.8253379971363983e-16
same_plane,z,z,2.9020764128367533,1.6545074638447637,1.7266014304980695,1.7266014304980701,7.816041058999314e-16
same_plane,z,z,2.526631710977085,1.037992297920174,2.7185612982823275,2.718561298282328,1.5700924586837752e-16
same_plane,z,z,1.530232788273999,2.9037730885096567,1.8491794303959308,1.8491794303959312,4.965068306494546e-16
same_plane,z,z,1.702863004137272,2.4253932619533276,2.1549290410889865,2.1549290410889865,1.5700924586837752e-16
same_plane,z,z,2.0613256916188503,2.306504031098682,1.915355584462054,1.915355584462054,2.603703785810335e-16
same_plane,z,z,2.523621835062056,1.9432462327634283,1.8163172393541023,1.8163172393541027,6.667118051786499e-16
same_plane,z,z,0.8981836285214336,2.991099156581504,2.393902522076649,2.3939025220766488,2.9373740229761033e-16
same_plane,z,z,2.741062307815558,0.291036706475426,3.0320990142909836,3.0320990142909854,4.308824046522781e-16
same_plane,z,z,2.522656523962272,1.39050197709253,2.370026806124785,2.370026806124785,0.0
same_plane,z,z,0.405240291753887,0.15669354509148609,0.561933836845373,0.561933836845373,1.1102230246251565e-16
same_plane,z,z,2.0297528781976455,1.3643638721779727,2.8890685568039682,2.8890685568039682,2.7476618026966064e-16
same_plane,z,z,1.5147796891570686,1.5251992816334798,3.039978970790548,3.039978970790548,1.3597399555105182e-16
same_plane,z,z,0.27219437837280114,1.984753050990707,2.256947429363508,2.256947429363508,1.9229626863835638e-16
same_plane,z,z,1.8292965795166762,2.4340289271391313,2.019859800523779,2.019859800523779,6.329245045284193e-16
same_plane,z,z,0.7966940674262679,1.7569773573706733,2.553671424796941,2.553671424796941,3.1401849173675503e-16
same_plane,z,z,1.495702417316561,0.31525216679845336,1.8109545841150143,1.8109545841150143,1.1102230246251565e-16
same_plane,z,z,2.4400739511020872,2.6228125732635292,1.22029878281397,1.22029878281397,2.5438405243138006e-16
same_plane,z,z,1.341365296795828,0.3276662602309932,1.6690315570268213,1.6690315570268213,5.003707553108401e-17
same_plane,z,z,1.2553178184183833,2.1778650682621454,2.8500024204990573,2.8500024204990577,2.5438405243138006e-16
same_plane,z,z,0.9622390045611411,1.6389496307193887,2.60118863528053,2.60118863528053,2.220446049250313e-16
same_plane,z,z,0.23973972920131584,0.1782454135669215,0.4179851427682372,0.4179851427682372,1.1102230246251565e-16
same_plane,z,z,1.9922637287903047,0.8464767124697413,2.838740441260046,2.838740441260046,2.5438405243138006e-16
same_plane,z,z,2.7532243308932296,1.9216435229760231,1.6083174533103337,1.608317453310334,1.993045536433795e-16
same_plane,z,z,1.2343139797680958,0.8953107763669786,2.1296247561350743,2.1296247561350743,2.220446049250313e-16
same_plane,z,z,0.49204666835599986,2.7253408907863337,3.0657977480372534,3.0657977480372534,2.5172027167143304e-16
same_plane,z,z,3.0362510505975884,2.3437548458997517,0.9031794106822464,0.9031794106822464,1.5700924586837752e-16
same_plane,z,z,2.481120000369943,1.980291673811087,1.8217736329985565,1.8217736329985565,2.0955000055363631e-16
same_plane,z,z,0.7693318303996148,2.4269919499589747,3.0868615268209956,3.0868615268209956,3.2877472246012713e-16
same_plane,z,z,2.7723338177323713,2.5039489417438827,1.0069025477033322,1.006902547703332,5.661048867003676e-16
same_plane,z,z,1.4707863353804933,2.276367577752235,2.536031394046858,2.5360313940468577,4.440892098500626e-16
same_plane,z,z,2.667821827047365,2.883940611399974,0.7314228687322475,0.7314228687322475,0.0
same_plane,z,z,0.679729997278228,2.095003604991438,2.7747336022696665,2.7747336022696656,3.3766115072321297e-16
same_plane,z,z,1.4556598212117877,1.6414264418262199,3.097086263038007,3.0970862630380047,5.433645741806906e-16
same_plane,z,z,1.4419608640905845,0.8952773100846292,2.3372381741752135,2.337238174175214,5.324442579404919e-16
same_plane,z,z,0.8659942828202789,0.8929354734042448,1.7589297562245236,1.7589297562245236,1.1443916996305594e-16
same_plane,z,z,1.762369370987485,2.9471184939072104,1.573697442284891,1.5736974422848908,3.3763246372471767e-16
same_plane,z,z,2.7462856594377643,2.2887268123996365,1.248172835342186,1.2481728353421853,7.2377686124476805e-16
same_plane,z,z,2.391136684097731,0.5989854537026293,2.99012213780036,2.990122137800361,3.002224531865041e-16
same_plane,z,z,2.2644842933020946,1.115583920238792,2.903117093638699,2.903117093638699,3.8956806801599406e-16
same_plane,z,z,1.5798428161494416,0.9761341550231678,2.5559769711726097,2.5559769711726092,2.220446049250313e-16
same_plane,z,z,0.11645145646262603,2.433451837436226,2.549903293898852,2.549903293898852,1.1102230246251565e-16
same_plane,z,z,2.89660373499303,0.23637662904049267,3.1329803640335236,3.1329803640335108,2.600523494180257e-16
test,axis_a,axis_b,angle_a,angle_b,holonomy,nonabelian_signature,path_vs_reverse_diff
distinct_plane,z,x,1.2362884153283877,1.643048191973224,1.9646959337138818,2.1735099121790262,2.1735099121790262
distinct_plane,z,x,2.788994319641104,1.558445177471539,2.8913783077712427,2.82584360251131,2.82584360251131
distinct_plane,z,x,0.9038868767691529,1.80415808282044,1.958285936060916,1.8209996804183048,1.8209996804183048
distinct_plane,z,x,2.816744652927444,2.2093738786645933,2.9961141882393982,2.354116783389327,2.354116783389327
distinct_plane,z,x,0.7502029841830133,2.8761251207244456,2.8946809013800037,1.9140165401276472,1.9140165401276472
distinct_plane,z,x,2.2455750679579323,1.2337113768353403,2.4193173003704302,2.516784221174421,2.516784221174421
distinct_plane,z,x,2.609230138037526,1.5909330641099446,2.771236320037475,2.8248249828379666,2.8248249828379666
distinct_plane,z,x,0.588406253153953,2.2713026821197593,2.311068581569228,1.435145238139852,1.435145238139852
distinct_plane,z,x,0.37467699474579574,0.8897814376076467,0.9605657363588751,0.4519499368172654,0.4519499368172654
distinct_plane,z,x,1.7643395234151162,2.494518085213254,2.734727283147735,2.8211225833913596,2.8211225833913596
distinct_plane,z,x,2.0379079826576594,0.6218208177950133,2.096422831272872,1.4228031831612822,1.4228031831612822
distinct_plane,z,x,2.7471303735242336,0.9825441576893175,2.794289809454396,2.3200303003365423,2.3200303003365423
