bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b2323,fabB,COG0304,E,E,u,1,15.44424150377654,0.0,15.44424150377654,2111094.991964876,6.324507775495246
b1095,fabF,COG0304,N,,,1,15.44424150377654,0.0,15.44424150377654,2111094.991964876,6.324507775495246
b1397,paaJ,COG0183,N,,,0,15.44424150377654,15.444241503776595,-5.506706202140776e-14,18117.03290699509,4.258087073162411
b1245,oppC,COG1173,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b1244,oppB,COG0601,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b1329,mppA,COG4166,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b1247,oppF,COG4608,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b1386,tynA,COG3733,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b0004,thrC,COG0498,N,,,1,15.44424150377654,2.2277955387260253e-14,15.444241503776516,2111094.9919647705,6.324507775495225
b1192,ldcA,COG1619,N,,,0,15.44424150377654,15.444241503776691,-1.5276668818842157e-13,18117.0329069953,4.258087073162416
b1243,oppA,COG4166,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b4266,idnO,COG1028,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b4265,idnT,COG2610,N,,,0,15.44424150377654,15.444241503776151,3.890221478286549e-13,18117.0329069938,4.258087073162381
b0159,pfs,COG0775,N,,,1,15.44424150377654,3.262664944439995e-15,15.444241503776537,2111094.991964773,6.324507775495225
b3197,kdsD,COG0794,N,,,1,15.44424150377654,0.0,15.44424150377654,2111094.9919648594,6.324507775495243
b2708,gutQ,COG0794,N,,,1,15.44424150377654,0.0,15.44424150377654,2111094.9919648767,6.324507775495246
b1094,acpP,COG0236,E,E,u,1,15.44424150377654,0.0,15.44424150377654,2111094.9919648767,6.324507775495246
b1927,amyA,COG0366,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b3571,malS,COG0366,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b2901,bglA,COG2723,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b1302,puuE,COG0160,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b2662,gabT,COG0160,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b1444,ydcW,COG1012,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b2663,gabP,COG1113,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b2222,atoA,COG2057,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b2221,atoD,COG1788,N,,,0,15.44424150377654,15.44424150377679,-2.504663143554353e-13,18117.03290699549,4.258087073162421
b2224,atoB,COG0183,N,,,0,15.44424150377654,15.050509393828268,0.3937321099482727,58237.54429384934,4.765203053768654
b2342,yfcY,COG0183,N,,,0,15.44424150377654,15.050509393827832,0.3937321099487079,58237.54429383169,4.765203053768523
b2223,atoE,COG2031,N,,,0,15.44424150377654,15.444241503776402,1.3855583347321956e-13,18117.03290699456,4.2580870731623985
b1241,adhE,COG1012,N,,,0,15.44424150377654,13.036694232478183,2.407547271298357,7836941.74419484,6.894146618457503
b0351,mhpF,COG0119,N,,,0,15.44424150377654,13.036694232479713,2.407547271296828,7836941.744194291,6.894146618457473
b1463,nhoA,COG2162,N,,,0,15.44424150377654,15.444241503776553,-1.2434497875801752e-14,1381161.183156151,6.14024436421986
b1993,cobU,COG2087,N,,,0,15.44424150377654,15.444241503776238,3.0198066269804263e-13,1381161.1831561436,6.140244364219857
b2316,accD,COG0777,E,E,u,1,15.44424150377654,3.598532595380045e-15,15.444241503776537,2557560.588534594,6.407825930929479
