eps,H_num_H_an_Frob_diff,det_H_num,HtH_minus_lambda2_I_Frob_err,lambda_total,n_crossings
0.05,4.842367465510217e-13,0.9417645335849294,9.441343402753578e-13,0.9801986733067553,2
0.1,2.0113328779973362e-13,0.886920436717435,3.8623543155704674e-13,0.9607894391523232,2
0.2,5.440924769897672e-14,0.7866278610664813,1.009649173021636e-13,0.9231163463866359,2
0.4,2.119792452674559e-14,0.6187833918061626,3.637669049076162e-14,0.8521437889662113,2
0.8,2.7288620371039905e-13,0.38289288597534515,3.9584126214141304e-13,0.7261490370736908,2
