tau,free_evolution_change,post_measurement_change,classical_change
0.001,0.0009998998384498409,9.999996666477462e-07,0.00199600532800438
0.0013738237958832624,0.0013736346379235066,1.887390634749963e-06,0.0027401118345338595
0.0018873918221350976,0.0018870345118817866,3.5622436604438113e-06,0.0037605704430402455
0.002592943797404667,0.002592268648536497,6.723342468659063e-06,0.005159086901614302
0.003562247890262444,0.0035609716401179526,1.2689556356364588e-05,0.0070739775695618625
0.004893900918477494,0.0048914870097169095,2.395007499542543e-05,0.009692622846038123
0.006723357536499335,0.006718788287334115,4.520285544782364e-05,0.013267510991384495
0.009236708571873866,0.00922805034100535,8.531435895140394e-05,0.01813631438030151
0.01268961003167922,0.012673180091286177,0.00016101755979562723,0.024745876272582994
0.017433288221999882,0.01740205047836875,0.000303888750450385,0.033678670148174425
0.02395026619987486,0.023890722041704403,0.0005735055812809266,0.045677620241294445
0.03290344562312668,0.03278955975718165,0.0010822460895020707,0.06166024065906499
0.04520353656360243,0.044984755320103056,0.0020419683240085326,0.08270477197753938
0.06210169418915616,0.061679049325828864,0.0038516651295048138,0.10997871222770374
0.08531678524172806,0.08449467890964982,0.007261309919255134,0.1445655096940051
0.11721022975334805,0.1155981018974056,0.013675440027023197,0.1871364417368942
0.16102620275609392,0.15783649626027965,0.025706099435592773,0.23743378774219648
0.2212216291070448,0.2148544568014361,0.04814585815119838,0.2936194938923755
0.3039195382313198,0.29111758672007804,0.08955798702460066,0.35174556612916885
0.41753189365604004,0.39169803640094397,0.1644348020087571,0.4058884741890396
0.5736152510448681,0.521511160971756,0.2944931155474225,0.44959214106140033
0.7880462815669912,0.6827847385637752,0.5026481057895551,0.4786207041054099
1.0826367338740541,0.864079420992252,0.7800378364836937,0.49341982616996993
1.4873521072935119,0.99562953837079,0.9930532080698015,0.4986963087431545
2.0433597178569416,0.8589047219893019,0.7928200588940683,0.4998589767872901
2.8072162039411754,0.257711494789296,0.10770225589113902,0.49999335743249196
3.856620421163472,0.5459912540195022,0.4298616899861475,0.49999990015320395
5.298316906283707,0.745327258965491,0.6942211183797493,0.4999999996874994
7.278953843983146,0.7379032177747211,0.704218354424631,0.49999999999988676
10.0,0.3402809915727312,0.295958969093304,0.5
