label,csv_path,n_genes,n_mapped,n_global,indicator_T_at_0.05,r_all_pairs_orig,r_all_pairs_v10,delta_r_all_pairs,rho_all_pairs_orig,rho_all_pairs_v10,r_per_gene_max_all_orig,r_per_gene_max_all_v10,delta_r_per_gene_max_all,rho_per_gene_max_all_orig,rho_per_gene_max_all_v10,r_per_gene_max_MAPPED_orig,r_per_gene_max_MAPPED_v10,rho_per_gene_max_MAPPED_orig,rho_per_gene_max_MAPPED_v10,r_per_gene_max_GLOBAL_orig,r_per_gene_max_GLOBAL_v10,rho_per_gene_max_GLOBAL_orig,rho_per_gene_max_GLOBAL_v10
ORIGINAL (1 MAPPED + 91 GLOBAL),/tmp/my-project/download/novelty_real_time_series_e10_v1_backup.csv,92,1,91,"{'T1': 0, 'T2': 1, 'T3': 1, 'T4': 1, 'T5': 1, 'T6': 1, 'T7': 1, 'T8': 1}",0.21578741828319903,0.21663581120529313,0.0008483929220940989,0.1776429222268312,0.17786280173927266,-0.0633462812845672,-0.0633462812845672,0.0,-0.09477082861851907,-0.09477082861851907,,,,,,,,
PATCHED (15 MAPPED + 77 GLOBAL),/tmp/my-project/download/novelty_real_time_series_e10.csv,92,15,77,"{'T1': 0, 'T2': 1, 'T3': 1, 'T4': 1, 'T5': 1, 'T6': 1, 'T7': 1, 'T8': 1}",0.2188511710919832,0.21817410016371575,-0.0006770709282674647,0.2282848605113022,0.22889577166518635,0.08382577088709317,0.08382577088709317,0.0,0.03497014808371557,0.03497014808371557,-0.1579159053375389,-0.1579159053375389,-0.1238285254115413,-0.1238285254115413,,,,
