network,type,component,n_producers,max_dep_ratio,max_dep_ratio_recovery,r_argmax,baseline_conc,verdict_at_0.5
G,metabolic,ALA,4,0.0,0.0,M5a,100.0,ROBUST
G,metabolic,ASP,2,0.0,0.0,M6a,100.0,ROBUST
G,metabolic,MAL,2,0.0,0.0,M7a,100.0,ROBUST
G,metabolic,GLU,2,0.0,0.0,M12a,99.75,ROBUST
G,metabolic,Glycogen,2,1.0,0.0,M13a,95.75798801598002,FRAGILE
G,metabolic,PolyP,2,1.0,0.04450221961561716,M15a,7.523998295024331,FRAGILE
G,enzyme,HK1,1,0.7139432636696387,0.0,E1a,99.75,FRAGILE
G,enzyme,HK2,1,0.7139432636696387,0.0,E1b,99.75,FRAGILE
G,enzyme,PFK1,1,0.7139432636696387,0.0,E2a,99.75,FRAGILE
G,enzyme,PFK2,1,0.7139432636696387,0.0,E2b,99.75,FRAGILE
G,enzyme,ALDO1,1,0.7139432636696386,0.0,E3a,99.2518734375,FRAGILE
G,enzyme,ALDO2,1,0.7139432636696386,0.0,E3b,99.2518734375,FRAGILE
G,enzyme,PYK1,1,0.7139432636696387,0.0,E4a,99.75,FRAGILE
G,enzyme,PYK2,1,0.7139432636696387,0.0,E4b,99.75,FRAGILE
G,enzyme,ALT1,1,0.7139432636696387,0.0,E5a,99.75,FRAGILE
G,enzyme,ALT2,1,0.7139432636696387,0.0,E5b,99.75,FRAGILE
G,enzyme,ALT3,1,0.7139432636696387,0.0,E11a,99.75,FRAGILE
G,enzyme,ALT4,1,0.7139432636696387,0.0,E11b,99.75,FRAGILE
G,enzyme,ALT5,1,0.7139432636696387,0.0,E12a,99.75,FRAGILE
G,enzyme,ALT6,1,0.7139432636696387,0.0,E12b,99.75,FRAGILE
G,enzyme,ASPAT1,1,0.7139432636696388,0.12489610479586746,E6a,73.28193199614212,FRAGILE
G,enzyme,ASPAT2,1,0.7139432636696388,0.12489610479586746,E6b,73.28193199614212,FRAGILE
G,enzyme,MDH1,1,0.7139432636696388,0.19194470026282012,E7a,73.28193199614212,FRAGILE
G,enzyme,MDH2,1,0.7139432636696388,0.19194470026282012,E7b,73.28193199614212,FRAGILE
G,enzyme,PDH1,1,0.7139432636696387,0.0,E8a,99.75,FRAGILE
G,enzyme,PDH2,1,0.7139432636696387,0.0,E8b,99.75,FRAGILE
G,enzyme,PEPC1,1,0.7139432636696387,0.0,E9a,99.75,FRAGILE
G,enzyme,PEPC2,1,0.7139432636696387,0.0,E9b,99.75,FRAGILE
G,enzyme,ACK1,1,0.7139432636696387,0.0,E10a,99.75,FRAGILE
