type,id,n_producers_or_mets,max_dep_ratio,max_dep_ratio_recovery,mean_dep_ratio,r_argmax_or_m_argmax,baseline_conc
component,G6P,6,0.3571426978454053,3.513644884919198e-10,0.16666712378573215,M26a,27.94388577793315
component,FBP,4,0.5962542058578024,1.0,0.39580454139870025,M22a,24.718597951598763
component,PEP,6,-0.15821397203614282,-1.3095118926275755,-0.9257459193396064,M3a,25.79790210685852
component,PYR,8,0.035750341588098,0.0,0.0089375853970245,M24a,100.0
component,AcCoA,4,0.25038295851970377,-0.24151980827460767,-0.12442556222044435,M8a,8.88454542983028
component,ALA,6,0.9001997003995007,0.0,0.5633045351075053,M5a,100.0
component,ASP,4,0.5,0.0,0.25,M17a,59.88017976029965
component,MAL,2,0.9903863060837437,0.0,0.9903863060837437,M7a,100.0
component,GLU,6,0.0,0.0,0.0,M12a,64.8198951398252
component,Glycogen,4,0.0,0.0,0.0,M13a,95.75798801598002
component,PolyP,4,0.0,0.0,0.0,M15a,94.75998501997503
component,DHAP,4,-0.003915566059467673,-0.003915566059467673,-0.003915566059467673,M21a,99.60997058001233
component,G3P,4,-0.003915566059467673,-0.003915566059467673,-0.003915566059467673,M21a,99.60997058001233
component,HK1,1,0.7139432636696387,0.0,0.7139432636696387,E1a,99.75
component,HK2,1,0.7139432636696387,0.0,0.7139432636696387,E1b,99.75
component,PFK1,1,0.7139432636696387,0.0,0.7139432636696387,E2a,99.75
component,PFK2,1,0.7139432636696387,0.0,0.7139432636696387,E2b,99.75
component,ALDO1,1,0.7139432636696386,0.0,0.7139432636696386,E3a,99.2518734375
component,ALDO2,1,0.7139432636696386,0.0,0.7139432636696386,E3b,99.2518734375
component,ALDO3,1,0.7139432636696387,0.0,0.7139432636696387,E21a,99.75
component,ALDO4,1,0.7139432636696387,0.0,0.7139432636696387,E21b,99.75
component,PYK1,1,0.7139432636696387,0.0,0.7139432636696387,E4a,99.75
component,PYK2,1,0.7139432636696387,0.0,0.7139432636696387,E4b,99.75
component,ALT1,1,0.7139432636696387,0.0,0.7139432636696387,E5a,99.75
component,ALT2,1,0.7139432636696387,0.0,0.7139432636696387,E5b,99.75
component,ALT3,1,0.7139432636696387,0.0,0.7139432636696387,E11a,99.75
component,ALT4,1,0.7139432636696387,0.0,0.7139432636696387,E11b,99.75
component,ALT5,1,0.7139432636696387,0.0,0.7139432636696387,E12a,99.75
component,ALT6,1,0.7139432636696387,0.0,0.7139432636696387,E12b,99.75
component,ASPAT1,1,0.7139432636696387,0.0,0.7139432636696387,E6a,99.75
component,ASPAT2,1,0.7139432636696387,0.0,0.7139432636696387,E6b,99.75
component,ASPAT3,1,0.7139432636696387,0.0,0.7139432636696387,E17a,99.75
component,ASPAT4,1,0.7139432636696387,0.0,0.7139432636696387,E17b,99.75
component,ALT7,1,0.7139432636696387,0.0,0.7139432636696387,E19a,99.75
component,ALT8,1,0.7139432636696387,0.0,0.7139432636696387,E19b,99.75
component,MDH1,1,0.7139432636696387,0.0,0.7139432636696387,E7a,99.75
component,MDH2,1,0.7139432636696387,0.0,0.7139432636696387,E7b,99.75
component,PDH1,1,0.7139432636696387,0.0,0.7139432636696387,E8a,99.75
component,PDH2,1,0.7139432636696387,0.0,0.7139432636696387,E8b,99.75
component,PEPC1,1,0.7139432636696387,0.0,0.7139432636696387,E9a,99.75
component,PEPC2,1,0.7139432636696387,0.0,0.7139432636696387,E9b,99.75
component,ACK1,1,0.7139432636696387,0.0,0.7139432636696387,E10a,99.75
component,ACK2,1,0.7139432636696387,0.0,0.7139432636696387,E10b,99.75
component,GLY1,1,0.7139432636696387,0.0,0.7139432636696387,E13a,99.75
component,GLY2,1,0.7139432636696387,0.0,0.7139432636696387,E13b,99.75
component,GLYP1,1,0.7139432636696387,0.0,0.7139432636696387,E14a,99.75
component,GLYP2,1,0.7139432636696387,0.0,0.7139432636696387,E14b,99.75
component,PPK1,1,0.7139432636696387,0.0,0.7139432636696387,E15a,99.75
component,PPK2,1,0.7139432636696387,0.0,0.7139432636696387,E15b,99.75
component,ACS1,1,0.7139432636696387,0.0,0.7139432636696387,E23a,99.75
component,ACS2,1,0.7139432636696387,0.0,0.7139432636696387,E23b,99.75
