tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,0.5,0.05,16,kmeans,-456.161239990718,76.72643271154885,-468.5904561875624,12.429216196844383,0.3648508055363917,0.16409843233437807,0.05987144522445691,0.26082396383356043,0.1565969767236393
0.02,0.5,0.05,32,uniform,-454.4801510245914,77.24410711212734,-466.9093672214358,12.429216196844383,0.3031975417790503,0.1645982783862144,0.04990579338776399,0.2707896156702534,0.15609713067180295
0.02,0.5,0.05,32,kmeans,-456.161239990718,76.72643271154885,-468.5904561875624,12.429216196844383,0.3648508055363917,0.16409843233437807,0.05987144522445691,0.26082396383356043,0.1565969767236393
0.02,0.5,0.1,4,uniform,-471.67723111998004,72.1092484893092,-484.1064473168244,12.429216196844383,0.3988574482677296,0.16179721298235794,0.06453402350697367,0.2561613855510437,0.15889819607565941
0.02,0.5,0.1,4,kmeans,-474.93284550713685,71.17629670893311,-487.3620617039812,12.429216196844383,0.49422951147130273,0.15835078263877816,0.07826162994466178,0.24243377911335556,0.1623446264192392
0.02,0.5,0.1,8,uniform,-459.47577977132346,75.71589519390535,-471.90499596816784,12.429216196844383,0.3313746945249717,0.16415007789589622,0.05439518191900292,0.2663002271390144,0.15654533116212113
0.02,0.5,0.1,8,kmeans,-461.40900592173284,75.13264939798805,-473.8382221185772,12.429216196844383,0.40019264450844794,0.16329589505905273,0.0653498160810563,0.255345592976961,0.15739951399896462
0.02,0.5,0.1,16,uniform,-459.47577977132346,75.71589519390535,-471.90499596816784,12.429216196844383,0.3313746945249717,0.16415007789589622,0.05439518191900292,0.2663002271390144,0.15654533116212113
0.02,0.5,0.1,16,kmeans,-461.40900592173284,75.13264939798805,-473.8382221185772,12.429216196844383,0.40019264450844794,0.16329589505905273,0.0653498160810563,0.255345592976961,0.15739951399896462
0.02,0.5,0.1,32,uniform,-459.47577977132346,75.71589519390535,-471.90499596816784,12.429216196844383,0.3313746945249717,0.16415007789589622,0.05439518191900292,0.2663002271390144,0.15654533116212113
0.02,0.5,0.1,32,kmeans,-461.40900592173284,75.13264939798805,-473.8382221185772,12.429216196844383,0.40019264450844794,0.16329589505905273,0.0653498160810563,0.255345592976961,0.15739951399896462
0.02,0.5,0.2,4,uniform,-484.56218739951265,68.48689985796254,-496.99140359635703,12.429216196844383,0.4805593070303068,0.15874841628565117,0.0762880289223912,0.24440738013562616,0.16194699277236618
0.02,0.5,0.2,4,kmeans,-488.64170539791115,67.37839462710853,-501.07092159475553,12.429216196844383,0.5977038317086082,0.1534522000528936,0.09171896795573038,0.228976441102287,0.16724320900512377
0.02,0.5,0.2,8,uniform,-471.13287989516715,72.26643058268112,-483.56209609201153,12.429216196844383,0.3981308421108494,0.16278356487013157,0.06480915776355156,0.2558862512944658,0.15791184418788579
0.02,0.5,0.2,8,kmeans,-473.67771798623113,71.53453654516466,-486.1069341830755,12.429216196844383,0.48379682604966884,0.1609517175458247,0.0778679300959128,0.24282747896210455,0.15974369151219264
0.02,0.5,0.2,16,uniform,-471.13287989516715,72.26643058268112,-483.56209609201153,12.429216196844383,0.3981308421108494,0.16278356487013157,0.06480915776355156,0.2558862512944658,0.15791184418788579
0.02,0.5,0.2,16,kmeans,-473.67771798623113,71.53453654516466,-486.1069341830755,12.429216196844383,0.48379682604966884,0.1609517175458247,0.0778679300959128,0.24282747896210455,0.15974369151219264
