type,id,n_producers_or_mets,max_dep_ratio,max_dep_ratio_recovery,mean_dep_ratio,r_argmax_or_m_argmax,baseline_conc
component,G6P,4,0.5,0.0,0.25,M14a,7.984023968039954
component,FBP,4,0.2808337443403575,-0.05054857686265,-0.9349195727325923,M22a,6.284371843495087
component,PEP,2,0.7002997002997003,0.0,0.7002997002997003,M3a,100.0
component,PYR,6,1.0,1.2103294981025858e-06,0.3333341402196653,M4a,23.091173533025767
component,AcCoA,4,0.39554841326341744,9.479308782967657e-11,0.09332261989512618,M8a,11.018263176317982
component,ALA,6,0.0,0.0,0.0,M5a,100.0
component,ASP,4,0.0,0.0,0.0,M6a,100.0
component,MAL,2,0.0,0.0,0.0,M7a,100.0
component,GLU,6,0.0,0.0,0.0,M12a,64.8198951398252
component,Glycogen,2,1.0,0.0,1.0,M13a,95.75798801598002
component,PolyP,2,0.9932580872577778,0.10089188033226093,0.9932580872577778,M15a,10.755238269522195
component,DHAP,2,1.0,-0.11951793007399145,1.0,M21a,14.210398765135842
component,G3P,2,1.0,-0.11951793007399145,1.0,M21a,14.210398765135842
component,HK1,1,0.7139432636696387,0.0,0.7139432636696387,E1a,99.75
component,HK2,1,0.7139432636696387,0.0,0.7139432636696387,E1b,99.75
component,PFK1,1,0.7139432636696387,0.0,0.7139432636696387,E2a,99.75
component,PFK2,1,0.7139432636696387,0.0,0.7139432636696387,E2b,99.75
component,ALDO1,1,0.7139432636696387,0.0,0.7139432636696387,E3a,99.75
component,ALDO2,1,0.7139432636696387,0.0,0.7139432636696387,E3b,99.75
component,ALDO3,1,0.7139432636696387,0.0,0.7139432636696387,E21a,99.75
component,ALDO4,1,0.7139432636696387,0.0,0.7139432636696387,E21b,99.75
component,PYK1,1,0.7139432636696387,0.0,0.7139432636696387,E4a,99.75
component,PYK2,1,0.7139432636696387,0.0,0.7139432636696387,E4b,99.75
component,ALT1,1,0.7139432636696387,0.0,0.7139432636696387,E5a,99.75
component,ALT2,1,0.7139432636696387,0.0,0.7139432636696387,E5b,99.75
component,ALT3,1,0.7139432636696387,0.0,0.7139432636696387,E11a,99.75
component,ALT4,1,0.7139432636696387,0.0,0.7139432636696387,E11b,99.75
component,ALT5,1,0.7139432636696387,0.0,0.7139432636696387,E12a,99.75
component,ALT6,1,0.7139432636696387,0.0,0.7139432636696387,E12b,99.75
component,ASPAT1,1,0.7139432636696392,0.2836715242365285,0.7139432636696392,E6a,67.68705538579752
component,ASPAT2,1,0.7139432636696392,0.2836715242365285,0.7139432636696392,E6b,67.68705538579752
component,ASPAT3,1,0.7139432636696387,0.0,0.7139432636696387,E17a,99.75
component,ASPAT4,1,0.7139432636696387,0.0,0.7139432636696387,E17b,99.75
component,ALT7,1,0.7139432636696387,0.0,0.7139432636696387,E19a,99.75
component,ALT8,1,0.7139432636696387,0.0,0.7139432636696387,E19b,99.75
component,MDH1,1,0.7139432636696392,0.3120459135190976,0.7139432636696392,E7a,67.68705538579752
component,MDH2,1,0.7139432636696392,0.3120459135190976,0.7139432636696392,E7b,67.68705538579752
component,PDH1,1,0.7139432636696387,0.0,0.7139432636696387,E8a,99.75
component,PDH2,1,0.7139432636696387,0.0,0.7139432636696387,E8b,99.75
component,PEPC1,1,0.7139432636696387,0.0,0.7139432636696387,E9a,99.75
component,PEPC2,1,0.7139432636696387,0.0,0.7139432636696387,E9b,99.75
component,ACK1,1,0.7139432636696387,0.0,0.7139432636696387,E10a,99.75
component,ACK2,1,0.7139432636696387,0.0,0.7139432636696387,E10b,99.75
component,GLY1,1,0.7139432636696387,0.0,0.7139432636696387,E13a,99.75
component,GLY2,1,0.7139432636696387,0.0,0.7139432636696387,E13b,99.75
component,GLYP1,1,0.7139432636696387,0.0,0.7139432636696387,E14a,99.75
component,GLYP2,1,0.7139432636696387,0.0,0.7139432636696387,E14b,99.75
component,PPK1,1,0.7139432636696387,0.0,0.7139432636696387,E15a,99.75
component,PPK2,1,0.7139432636696387,0.0,0.7139432636696387,E15b,99.75
component,ACS1,1,0.7139432636696387,0.0,0.7139432636696387,E23a,99.75
component,ACS2,1,0.7139432636696387,0.0,0.7139432636696387,E23b,99.75
component,TF,2,0.6642700258582932,0.0,0.3321350129291466,G_auto,99.75
reaction,M1a,2,0.0,0.0,-0.004411173660953108,G6P,
reaction,M1b,2,0.0,0.0,-0.004411173660953108,G6P,
reaction,M2a,1,-2.1506728898055423,-0.05054857686265,-2.1506728898055423,FBP,
reaction,M2b,1,-2.1506728898055423,-0.05054857686265,-2.1506728898055423,FBP,
reaction,M3a,1,0.7002997002997003,0.0,0.7002997002997003,PEP,
reaction,M3b,1,0.7002997002997003,0.0,0.7002997002997003,PEP,
reaction,M4a,2,1.0,0.0021747722526026156,0.6761808639872346,PYR,
reaction,M4b,2,1.0,0.0021747722526026156,0.6761808639872346,PYR,
reaction,M5a,1,0.0,0.0,0.0,ALA,
reaction,M5b,1,0.0,0.0,0.0,ALA,
reaction,M6a,1,0.0,0.0,0.0,ASP,
reaction,M6b,1,0.0,0.0,0.0,ASP,
reaction,M7a,2,0.43778986040645373,0.035988154489785984,0.21889493020322687,NADH,
reaction,M7b,2,0.43778986040645373,0.035988154489785984,0.21889493020322687,NADH,
reaction,M8a,2,0.39554841326341744,-0.20890317347316506,0.23094205678497354,AcCoA,
reaction,M8b,2,0.39554841326341744,-0.20890317347316506,0.23094205678497354,AcCoA,
reaction,M9a,1,0.0,0.0,0.0,,
reaction,M9b,1,0.0,0.0,0.0,,
reaction,M10a,2,0.3099485117684573,0.002167700169672446,0.1998114203788735,Acetate,
reaction,M10b,2,0.3099485117684573,0.002167700169672446,0.1998114203788735,Acetate,
reaction,M11a,2,0.0,0.0,0.0,ALA,
reaction,M11b,2,0.0,0.0,0.0,ALA,
reaction,M12a,2,1.2103294981025858e-06,1.2103294981025858e-06,6.051647490512929e-07,PYR,
reaction,M12b,2,1.2103294981025858e-06,1.2103294981025858e-06,6.051647490512929e-07,PYR,
reaction,M13a,2,1.0,0.0,0.4955691168128083,Glycogen,
reaction,M13b,2,1.0,0.0,0.4955691168128083,Glycogen,
reaction,M14a,1,0.5,0.0,0.5,G6P,
reaction,M14b,1,0.5,0.0,0.5,G6P,
reaction,M15a,2,0.9932580872577778,0.10089188033226093,0.4915807704289868,PolyP,
reaction,M15b,2,0.9932580872577778,0.10089188033226093,0.4915807704289868,PolyP,
reaction,M16a,1,0.06821763026082049,0.010254977198321172,0.06821763026082049,ATP,
reaction,M16b,1,0.06821763026082049,0.010254977198321172,0.06821763026082049,ATP,
reaction,M17a,2,0.4255258760476738,0.0,0.2127629380238369,alphaKG,
reaction,M17b,2,0.4255258760476738,0.0,0.2127629380238369,alphaKG,
reaction,M18a,2,0.0,0.0,0.0,GLU,
reaction,M18b,2,0.0,0.0,0.0,GLU,
reaction,M19a,2,0.07092097934127894,0.0,0.03546048967063947,alphaKG,
reaction,M19b,2,0.07092097934127894,0.0,0.03546048967063947,alphaKG,
reaction,M20a,2,1.2103294981025858e-06,1.2103294981025858e-06,6.051647490512929e-07,PYR,
reaction,M20b,2,1.2103294981025858e-06,1.2103294981025858e-06,6.051647490512929e-07,PYR,
reaction,M21a,2,1.0,-0.11951793007399145,1.0,DHAP,
reaction,M21b,2,1.0,-0.11951793007399145,1.0,DHAP,
reaction,M22a,1,0.2808337443403575,-0.8504613991686887,0.2808337443403575,FBP,
reaction,M22b,1,0.2808337443403575,-0.8504613991686887,0.2808337443403575,FBP,
reaction,M23a,3,-0.09402174725065765,9.479308782967657e-11,-0.1507633714794702,Pi,
reaction,M23b,3,-0.09402174725065765,9.479308782967657e-11,-0.1507633714794702,Pi,
reaction,E1a,3,0.7139432636696387,0.0,0.2331888125862315,HK1,
reaction,E1b,3,0.7139432636696387,0.0,0.2331888125862315,HK2,
reaction,E2a,3,0.7139432636696387,0.0,0.23214656911158307,PFK1,
reaction,E2b,3,0.7139432636696387,0.0,0.23214656911158307,PFK2,
reaction,E3a,3,0.7139432636696387,0.0,0.03869595859957755,ALDO1,
reaction,E3b,3,0.7139432636696387,0.0,0.03869595859957755,ALDO2,
reaction,E4a,3,0.7139432636696387,0.0,0.16535097543077729,PYK1,
reaction,E4b,3,0.7139432636696387,0.0,0.16535097543077729,PYK2,
reaction,E5a,3,0.7139432636696387,0.0,0.2331888125862315,ALT1,
reaction,E5b,3,0.7139432636696387,0.0,0.2331888125862315,ALT2,
reaction,E6a,3,0.7139432636696392,0.2836715242365285,0.2331888125862317,ASPAT1,
reaction,E6b,3,0.7139432636696392,0.2836715242365285,0.2331888125862317,ASPAT2,
