type,tau,TP,FP,TN,FN,kappa,mcc,f1,precision,recall
v3_full_reaction,0.0,245,399,987,7,0.4182098765432098,0.5054984922964336,0.546875,0.3804347826086957,0.9722222222222222
v3_full_reaction,0.1,245,88,1298,7,0.8031245018332536,0.8146845016778308,0.8376068376068377,0.7357357357357357,0.9722222222222222
v3_full_reaction,0.25,245,77,1309,7,0.8231292517006802,0.8322186501101254,0.853658536585366,0.7608695652173914,0.9722222222222222
v3_full_reaction,0.5,242,67,1319,10,0.8347366683176488,0.8410542292527963,0.8627450980392157,0.7831715210355987,0.9603174603174603
v3_full_reaction,0.75,227,63,1323,25,0.8056405028882092,0.8084930082231628,0.8376383763837639,0.7827586206896552,0.9007936507936508
v3_full_reaction,0.9,227,61,1325,25,0.8094751192910701,0.8120619196553202,0.8407407407407407,0.7881944444444444,0.9007936507936508
v3_full_reaction,1.0,45,5,1381,207,0.26033279656468095,0.3669611997167409,0.2980132450331126,0.9,0.17857142857142858
v3_at_v2_tau_0.1,0.1,245,88,1298,7,0.8031245018332536,0.8146845016778308,0.8376068376068377,0.7357357357357357,0.9722222222222222
