bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b2261,menC,COG1441,N,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1641.3519358313108,3.215201711706415
b0596,entA,COG1028,N,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1641.3519358313108,3.215201711706415
b0595,entB,COG1535,N,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1641.3519358313108,3.215201711706415
b4198,ulaF,COG0235,N,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1641.3519358313108,3.215201711706415
b0061,araD,COG0235,u,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1641.3519358313108,3.215201711706415
b3583,sgbE,COG0235,N,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1641.3519358313108,3.215201711706415
b4374,yjjG,COG1011,N,,,0,0.9259332133632957,0.9259332133632907,4.9960036108132044e-15,1625.9982376733888,3.2111200705513228
b0675,nagD,COG0647,N,,,0,0.9259332133632957,0.9259332133632925,3.219646771412954e-15,1633.4738940396546,3.2131121980308497
b2291,yfbR,COG1896,N,,,0,0.9259332133632957,0.9259332133632705,2.5202062658991053e-14,1642.960942776403,3.2156272393094967
b2361,yfdR,COG1896,N,,,0,0.9259332133632957,0.9259332133632785,1.7208456881689926e-14,1642.9609427762473,3.2156272393094554
b1651,gloA,COG0346,N,,,0,0.9259332133632957,0.9259332133632785,1.7208456881689926e-14,1642.9609427762473,3.2156272393094554
b0766,ybhA,COG0561,N,,,0,0.9259332133632957,0.9259332133632785,1.7208456881689926e-14,1642.9609427762473,3.2156272393094554
