uniprot,gene_name,Confidence.score,medianRatio_LB_vs_Glucose,medianRatio_Glycerin.AA_vs_Glucose,medianRatio_Acetate_vs_Glucose,medianRatio_Fumarate_vs_Glucose,medianRatio_Glucoseamine_vs_Glucose,medianRatio_Glycerol_vs_Glucose,medianRatio_Pyruvate_vs_Glucose,medianRatio_Chemstat.0.5_vs_Glucose,medianRatio_Chemstat.0.35_vs_Glucose,medianRatio_Chemstat.0.2_vs_Glucose,medianRatio_Chemstat.02_vs_Glucose,medianRatio_Statday_vs_Glucose,medianRatio_Stat.3days_vs_Glucose,medianRatio_Glucose.2_vs_Glucose,medianRatio_OSM_vs_Glucose,medianRatio_42.C_vs_Glucose,medianRatio_pH6_vs_Glucose,medianRatio_Xylose_vs_Glucose,medianRatio_Mannose_vs_Glucose,medianRatio_Galactose_vs_Glucose,medianRatio_Succinate_vs_Glucose,medianRatio_Fructose_vs_Glucose,qvalue_LB_vs_Glucose,qvalue_Glycerin.AA_vs_Glucose,qvalue_Acetate_vs_Glucose,qvalue_Fumarate_vs_Glucose,qvalue_Glucoseamine_vs_Glucose,qvalue_Glycerol_vs_Glucose,qvalue_Pyruvate_vs_Glucose,qvalue_Chemstat.0.5_vs_Glucose,qvalue_Chemstat.0.35_vs_Glucose,qvalue_Chemstat.0.2_vs_Glucose,qvalue_Chemstat.02_vs_Glucose,qvalue_Statday_vs_Glucose,qvalue_Stat.3days_vs_Glucose,qvalue_Glucose.2_vs_Glucose,qvalue_OSM_vs_Glucose,qvalue_42.C_vs_Glucose,qvalue_pH6_vs_Glucose,qvalue_Xylose_vs_Glucose,qvalue_Mannose_vs_Glucose,qvalue_Galactose_vs_Glucose,qvalue_Succinate_vs_Glucose,qvalue_Fructose_vs_Glucose,cv_LB,cv_Glucose.1,cv_Glycerin.AA,cv_Acetate,cv_Fumarate,cv_Glucoseamine,cv_Glycerol,cv_Pyruvate,cv_Chemstat.0.5,cv_Chemstat.0.35,cv_Chemstat.0.2,cv_Chemstat.0.12,cv_Stat.1day,cv_Stat.3days,cv_Glucose.2,cv_OSM,cv_42.C,cv_pH6,cv_Xylose,cv_Mannose,cv_Galactose,cv_Succinate,cv_Fructose
P0A8T7,rpoC,6045.53,1.6794600896341,1.19932828169054,0.98028403702526,0.992635274228497,1.30688213751472,1.1117483663931,1.13060068771204,1.83656728379001,1.69185049615259,1.74055129759264,1.65436724545559,1.11623035711049,1.23451535262188,1.02630566698432,0.830096046330405,1.36989083531987,1.17760369721825,1.337960926245,1.32470481822608,1.05404188488001,1.10150615322987,1.56902937724115,0.0101706283603554,0.192916512989655,0.633057366825549,0.998168027630894,0.00543147535224799,0.513376110429879,0.93074414948697,0.000682117308829407,0.00015950043309019,0.000826368879356572,0.000124750899520572,0.17690822677415,0.18211983341561,0.976617101612387,0.241132675586469,0.0739299416291421,0.0905681825891485,0.0194422960224954,0.169442380298732,0.687132678562157,0.706315990992035,0.00721608731125864,20.4725068280281,4.81765550253018,20.6363212114637,10.6943978654101,8.8720009471782,3.10389619634445,10.8284735510286,33.4543715908326,8.68247312649793,1.73686647931948,8.99086127559599,1.47170988885938,6.75670404581199,12.0821349471305,4.42308279025101,20.9088154814261,13.8611905109866,6.1412274403402,6.27428326542297,16.1521345373308,22.8671371763217,16.4513817982977,9.28523013213098
P0A8V2,rpoB,5061.29,1.46291299552987,0.972115997452317,0.84020208072912,0.912029501747048,1.1066880880819,1.02869603711333,1.08009509574164,1.41469632878447,1.33642171227054,1.35653404764788,1.33792691106394,1.07449629950986,1.01192678732088,0.988807140100033,0.843670793003206,1.18800310813546,0.998207688668618,1.14774169395118,1.13281945997829,0.924313496272406,1.07863600278848,1.28516630419263,0.0236234843056085,0.861541323923562,0.0564195368918981,0.259848883993364,0.158179571178307,0.75958252498218,0.91181871434953,0.00252617446811961,0.00125831463955499,0.00829162823219312,0.000687933835840627,0.945669582013644,0.905677540006766,0.846286856008981,0.16477877391389,0.197034033116559,0.659275909848746,0.0771314744804454,0.645331824981243,0.228056162765578,0.894615775334074,0.0341358463940166,18.1520245763061,2.90570844866359,14.5636912359091,10.33475120766,6.11766829468916,5.07967987836945,7.43530863848889,25.1091037148425,8.28131535927391,2.75389923698746,8.53080400674346,1.24101618392734,14.4247343400025,11.1793350173525,2.66858836446904,17.4819017304553,10.512955618959,5.92899871034625,4.26626087417908,13.5091900621615,19.7518332420214,13.5995955298456,7.76510592888242
P36683,acnB,4505.67,1.42346689144818,1.70972399107934,3.75771671350325,2.89550239680566,1.98294310621718,1.54297276636768,2.48394367069449,2.21109784811049,3.214868508613,3.00497024812979,2.77683828605086,0.21967364542368,0.179104031293785,0.944468475402803,0.380206507604038,0.608809522934874,0.59971418909642,0.902646417111149,2.35309859863139,2.19843366231516,2.8495212719959,1.11599396470987,0.0119593379441418,0.000275044401715659,5.30614014725261e-05,3.23028393321797e-05,0.000404025458674962,0.000534493648107486,0.000255144340557211,0.00013653673189334,8.8979267335734e-06,2.15989661843647e-05,5.79428288676008e-06,3.05023887375496e-05,3.84310449337943e-05,0.428169657219895,0.00178063240928601,0.0106465432464716,0.000479197091460066,0.376126015622973,9.27651369800316e-05,0.000122357819017436,0.00014453915011909,0.0898734284067652,17.2276457545316,0.957330681820056,3.9757801836649,8.11219390962649,2.63171818250868,5.70880350284374,2.22407177089496,4.56927229606081,4.96573285894686,3.09624206136692,5.2423285927225,0.926840857226343,3.93299177662024,10.0386327713333,2.45682824870019,16.6029929125094,9.56554210570271,4.47487518504345,21.777276055031,3.15739820525011,2.06665970583703,4.211018466302,3.24789854846256
P15254,purL,4277.71,0.217624049508634,0.704705855202687,0.731294294119312,0.951583793156931,0.873422258940576,0.914167028327642,1.26873859478117,0.993132345366198,0.849014500157626,0.831254500950652,0.76040442457845,0.449562338650682,0.538030784527455,0.924815493592379,0.550626277012189,0.733126854328785,0.681427215719505,0.71715112757857,0.777254308768215,0.829233056008032,0.862569967804118,0.945319916446389,3.38213163610033e-05,0.00493464826162563,0.00226299061044823,0.179546675904171,0.115897602987791,0.148640535897717,0.0263657679041211,0.756050589847742,0.0118609634964419,0.0161011195518587,0.00134724699691859,0.000379103107370383,0.000312568016485623,0.289006990414105,0.0036886538674773,0.0274255588876425,0.00119171065979407,0.0121864268975962,0.00395667862463281,0.0306981421194617,0.0511344167315805,0.149291929279253,9.31491557426814,5.12140473575552,8.30169435752127,1.0175354296605,3.23759755842165,6.87949582674509,4.74037108736664,4.27563337752824,8.93100334964032,4.42536656222199,9.07615316385402,3.29752555412827,7.01411467284924,4.01672980302262,5.51714064346858,12.9705267656329,11.3794625777942,1.78444989984249,7.87986988665146,1.21996828357516,7.68792676897033,2.96004507643003,6.19763825475089
P09831,gltB,4111.74,0.13767610841308,0.168756328085507,0.595496958542604,0.505466074085618,0.757431184093249,0.837127189476234,0.680560493215695,0.866760073933903,0.826030594744977,0.861709110213145,0.739174890699655,0.143558470196346,0.115184791377019,1.02477829759366,0.299169823892902,0.995290340930782,0.933406282134335,0.893781852489344,0.786724131738168,0.634236050715499,0.601423283291989,1.30252644035741,1.08700609258406e-05,2.61341880828429e-05,0.0151607454370935,0.000328476398357187,0.00626434063780704,0.0503899367334336,0.0374564620403379,0.0897253563728635,0.0115871442467422,0.055073961320101,0.00148980761396963,0.000107271421919054,1.23682812949679e-05,0.791883935758278,0.00383464948643508,0.937211266084704,0.514871550297153,0.212164862896318,0.0472964569299568,0.0154523105371985,0.00323074336093666,0.0322851483745367,6.3031152364866,4.2319768415795,9.7620610165894,21.9260666590069,6.04257547542752,2.44982000623569,9.79337119604871,23.5671212875562,7.96692435389914,5.27700498308991,5.37778040256814,3.14019253201115,17.4420292608655,3.98203063744418,4.20303972846654,28.413045173134,17.3904483742814,7.84128263641377,20.0535628563117,17.7067685015641,22.3618567925703,10.6869444283063,8.90915682471922
P0AFG8,aceE,3547.25,1.32401087668018,0.849063790441154,0.525423415386834,0.877376314202149,0.790723542897005,0.759533337319862,3.12515875841844,1.0801598192705,1.0934255047447,1.05469273438214,1.26347488538677,1.62297454215994,1.82102143486011,0.996872999841233,1.10865856969353,1.14691726075855,1.59397458837663,1.80323614494912,0.91274341226741,0.727823653690923,0.902382260950068,1.56258604216798,0.0316679714458381,0.200585416325019,0.000638857510333366,0.0339932904299964,0.00607356583653673,0.011716675941951,0.00311968680081183,0.101469562440413,0.0659669123460241,0.219454828682524,0.000995352543315715,0.000912647190598994,0.00117227779670155,0.974612208248356,0.633179875839385,0.124571303605923,0.00183735916982328,0.00162382356123683,0.15720045115161,0.0287948316261252,0.236206103055803,0.0117322120208059,22.2289513907935,2.338266912898,14.3576234727586,9.05076774288139,2.38993504376974,2.17682728515579,9.61339783655933,22.8729019400163,8.33479544403434,3.67987824336569,9.07154085783887,1.23994186301405,4.57645455736172,9.58347492109602,1.43578735324436,19.8377784976092,9.7785425969525,8.07991701057001,7.27227656586544,13.7075245160526,20.081976080179,6.64186744801456,13.1304943816505
P0A9Q7,adhE,4443.68,0.73465544527784,0.859535438614049,1.16166365672665,0.932041323904504,1.66176400069844,1.16082939338601,0.780993211133551,2.27828683494566,1.89743775208324,2.2471906135503,2.53013417689386,2.59355614088936,2.48908787823642,1.02845217236293,1.10314588001137,1.77754089680711,1.82094841919619,1.77072445099514,1.33331103771179,1.6906595711749,0.92493896494475,3.97811552463616,0.0574098179825155,0.159671835210182,0.175945130323294,0.231692046566436,0.000733163322825087,0.260243292490043,0.129049906896786,0.000798467884969934,0.000135244010625112,0.000320429925420822,1.76571556570249e-05,0.000174485353532074,0.000133740859241375,0.840859788151806,0.719177868630855,0.0110100916616908,0.00245485472750644,0.00137278655468767,0.114313845831668,0.0294591691017959,0.492150449470372,0.000201403201628781,23.5299728431076,4.17571524758908,10.3195028229161,11.0501407369028,6.39844653774069,2.82053491236291,9.26808183377791,27.1058771598385,14.6313436054268,5.55988637167067,10.6705068155551,3.88657662333328,6.35543959049339,7.08590027500961,3.58606306976039,16.8009360917967,10.4184534683088,13.9551237855084,3.19185674658196,18.772280918959,20.2077555707453,29.6386447562858,6.36127940140069
P0CE47,tufA,4565.07,1.14515670822739,1.08134493599309,0.738800527721403,0.850347636216349,0.753686037577125,0.821779604715996,0.853467040241599,0.76456391018825,0.679081621448157,0.620485656823983,0.619962875359818,0.616073349388154,0.630043471385024,0.979093763571276,0.871750563459039,0.946661767506367,0.746544460513752,0.878972329402691,0.823058444661825,0.720685227692553,0.85914177886208,0.891254868387915,0.215210750412278,0.227211892822247,0.00237295176685679,0.0120145927965834,0.0037133093550542,0.0133266622997786,0.0727405652173828,0.00299855872482128,0.000217731938260068,0.000237274825746428,8.89825498503754e-05,0.00103913720763505,0.000544946207871205,0.603980409794362,0.0741486407724423,0.292958846076522,0.00686475018447876,0.043231185199628,0.00851553673556605,0.00190991569594878,0.024961790401651,0.0685039155479945,9.44915616702723,2.94831206386609,3.43628656250535,2.92166877129108,1.94298394412482,3.20316828358452,4.69585875305036,5.52671403907389,5.52617731223491,1.55737165085288,3.30424102345103,2.74384092754406,5.04251302945056,1.78050544651175,1.53787739657314,1.92564560452336,7.95302969131385,6.28702398470824,0.70713158931686,2.959255224991,3.21486010532813,3.92405926796533,3.94992547937621
P25665,metE,4067.16,0.0216061454826652,0.024251450505749,0.42177242282737,0.431324966724211,0.509072541629825,0.606462983539011,0.415899024306428,0.563026681815553,0.309983536878466,0.22367226193873,0.126063996435485,0.117212627500984,0.124209264808957,0.943649148362192,0.598900818966165,0.599165439078911,0.488995904972379,0.650720740120602,0.558912154667299,0.293143567202744,0.411815183881649,0.726870245447478,3.43965306648046e-06,2.94020251069015e-06,0.000233134127943901,0.000118809985857468,0.000290935853769056,0.000419818004853064,0.000268558572768393,0.000277713430882025,1.49415119140073e-05,9.66244736574983e-06,1.91507924370109e-06,1.17702931256887e-05,3.84310449337943e-05,0.346154371908527,0.00497117748802137,0.0147650598271265,0.000262675609690225,0.00211825693718544,0.000476931065206545,0.00034584846043192,0.00153131627441373,0.00349180728503811,6.48676514584277,3.16944343621416,8.98623073956107,8.04795839696686,4.70727121276348,2.19922709728813,1.65736871456055,2.45840850706099,3.61055067371903,4.32661539432632,3.16880844416256,2.58607126390117,1.70752337291053,12.8932198346922,2.54860614081298,11.5123797769088,13.1302750830714,5.2573544103477,1.04946055203139,5.26475304490839,16.2423211643441,14.7981921886307,3.17161654129358
P0A6F5,groL,3795.21,1.88722943928686,1.86540518449001,1.07362706562075,1.31104693296711,1.11207364939944,1.25874330138196,1.15985582869571,1.21837107160678,1.25621219482292,1.08944411502369,1.14432607729899,2.08417415923134,2.03831082124847,0.998921092042984,1.03238785522612,2.7480146915386,1.15570672503391,1.18975495509414,1.29623466414262,0.891571163040972,1.29714721422264,1.05715080970427,0.00028576101176011,0.000177923427889554,0.151863611706683,0.00630182580937485,0.0378516756367328,0.0037258958901212,0.0641670848782634,0.00534587170435671,0.00181733507782368,0.0517349367167255,0.012408419604361,0.000169185482919984,0.000108550379364188,0.856449635161762,0.68062659967924,0.00243424770682455,0.0391227630431928,0.0721613115337975,0.00367329297272696,0.0992183588090751,0.0162913712534613,0.237378530029218,4.09130270137829,1.11952390082398,3.81765503381646,1.93055935255108,5.40941836824793,3.05710844494156,3.64385628621011,5.81958362853178,1.4388398424051,2.95494607818162,2.31111958120669,4.4332279429877,1.98611586242435,1.34561719018366,4.53460109025132,2.0872316373737,6.69672331944182,6.65249306567005,7.86434478305623,3.16233297251597,3.13016580369514,6.31894486051458,1.36028613675853
