uniprot,gene_name,medianRatio_50 mM NaCl_vs_glucose,medianRatio_pH 6_vs_glucose,medianRatio_42°C_vs_glucose,medianRatio_anaerobic_vs_glucose,medianRatio_stationary 1 day_vs_glucose,medianRatio_stationary 3 days_vs_glucose,medianRatio_chemostat µ=0.12_vs_glucose,medianRatio_chemostat µ=0.5_vs_glucose,medianRatio_galactose_vs_glucose,medianRatio_acetate_vs_glucose,medianRatio_glycerol_vs_glucose,medianRatio_LB_vs_glucose,medianRatio_glucosamine_vs_glucose,medianRatio_fumarate_vs_glucose,medianRatio_succinate_vs_glucose,medianRatio_pyruvate_vs_glucose,medianRatio_chemostat µ=0.20_vs_glucose,medianRatio_chemostat µ=0.35_vs_glucose
P0A8V2,rpoB,0.945892447,0.754254215,0.94654164,0.365634257,0.059328032,0.080970057,0.119216197,0.352975303,0.300835142,0.256545114,0.610110489,1.471290541,0.676856629,0.502524867,0.519470906,0.435244593,0.161959536,0.229274846
P0AFG8,aceE,1.181652949,1.080002854,1.100943789,0.297111848,0.106128063,0.147930028,0.169355029,0.379111475,0.364044383,0.273114405,0.682478956,2.478610292,1.45138519,0.713808734,0.780957095,1.809039437,0.200224679,0.249263963
P36683,acnB,1.047720494,0.940270263,0.937841407,0.503110167,0.139756798,0.126771589,0.795415873,1.373001316,1.259337785,1.903465766,1.192136596,0.882375005,0.995395925,1.978389754,2.288759791,1.828596183,1.072178862,1.390829808
P0A6F5,groL,0.988082416,0.930278471,1.173438824,1.188695282,0.203600121,0.350075973,0.84208469,1.094969019,0.89535377,1.112497558,1.192255935,1.518462909,1.160767048,1.327102555,1.341384082,1.112006391,0.877114797,1.046358071
P0A6Y8,dnaK,0.966639727,0.859976839,1.063009471,0.909519756,0.413725839,0.83740311,0.802697753,0.816800235,0.680109518,0.824069259,0.865069652,1.664139811,1.135114886,0.89355215,1.006314108,0.860431809,0.703911947,0.686453723
P05793,ilvC,0.907208762,0.673674063,0.955467016,0.45782681,0.085516552,0.086843072,0.159300303,0.490833252,0.325017648,0.447223901,0.814460893,0.049503098,0.634344528,0.53348697,0.600479666,0.391788898,0.198295005,0.320833146
P23847,dppA,1.082287673,1.366417836,1.171140634,1.684491569,0.68385473,0.864827769,5.083097704,2.424952623,2.546013087,2.66100476,2.246611595,0.226724868,1.547651639,2.626556315,2.313306471,2.792970445,4.686943927,3.055252193
P25665,metE,0.98181601,0.36227257,0.68057531,0.304201826,0.030879383,0.026841417,0.03463714,0.19967105,0.124707848,0.107017336,0.345938565,0.081555499,0.495388115,0.367245856,0.370910418,0.132661177,0.048476718,0.088207542
P0A8T7,rpoC,0.970883817,0.67822074,0.802842146,0.276107817,0.077456599,0.131353419,0.112571923,0.248662984,0.180493875,0.18401507,0.419868321,3.181087705,0.551602183,0.370508244,0.385715163,0.251384477,0.132313994,0.194290475
P00968,carB,0.997243131,0.531426103,0.734210511,0.202856758,0.071967838,0.070590514,0.044957496,0.206882961,0.124952902,0.113412349,0.345043904,0.058957461,0.5085754,0.25576005,0.379437467,0.265511819,0.06138639,0.113102909
P0AG67,rpsA,0.953617651,0.952823351,0.89080511,0.890140544,0.147015304,0.199643446,0.344857025,0.708741751,0.598096382,0.566740135,0.745452122,1.666333809,0.887414966,0.777274804,0.760670125,0.626746005,0.370099689,0.470347588
P0A9Q7,adhE,1.136124426,0.724265049,0.972508092,0.6443642,0.208709158,0.287486585,0.182559651,0.406729426,0.484135817,0.304024858,0.696098004,0.659863614,0.535217345,0.360439964,0.340667613,0.332903107,0.181131256,0.212410019
P0A6M8,fusA,1.024220214,0.799111981,1.027867823,0.69701847,0.096035103,0.156331801,0.275887812,0.622016119,0.447501537,0.458381711,0.712196965,1.436579853,0.811365222,0.72916072,0.804459734,0.750882707,0.314870091,0.379127768
P00957,alaS,0.95232653,0.900160474,1.031075499,0.91613937,0.089096527,0.153791671,0.217666057,0.440586187,0.370359471,0.294418739,0.65749526,0.966592788,0.704911454,0.657915836,0.554903518,0.39667175,0.273738596,0.284032587
P08839,ptsI,0.98058178,0.837866522,0.987556633,0.475572326,0.111135748,0.139140354,0.194154726,0.493147028,0.430922734,0.29043098,0.527294712,0.960847906,0.466547599,0.361300476,0.321722794,0.278232195,0.217507954,0.291316666
P0ABB4,atpD,0.984208934,0.923628498,0.985337923,0.995435321,0.144498724,0.246825906,0.542447586,1.153846985,0.989677236,1.086922674,1.320341755,1.111254187,1.25434205,1.386659569,1.401188859,1.605701102,0.691243559,0.887725184
P23843,oppA,1.234532518,1.553275733,1.051956191,1.877082607,1.115391748,0.921520588,2.357749818,1.682681305,1.472652119,1.094798624,1.354194044,0.619086071,1.459505642,1.070413817,1.267245507,1.794100862,2.076364133,1.503103934
P0A6B7,iscS,0.993469958,0.900226942,1.008034608,0.542402297,0.051988154,0.061620238,0.340260864,0.61364433,0.76759312,0.685481032,0.904485519,0.678198265,0.863816555,0.621114519,0.649392347,0.596197736,0.378171331,0.438438815
P08200,icd,1.073843816,1.215512397,1.059319563,1.000265553,0.132195305,0.167416464,0.624957851,1.17198987,1.016247015,1.080084233,0.949283026,0.331411111,1.035432657,1.257923382,1.348188109,1.409078354,0.923847301,1.125804935
P0A850,tig,0.977907615,0.886720899,1.005811596,1.110341677,0.109875439,0.196756918,0.43587398,0.875106192,0.6309196,0.653747546,0.804826664,1.759932656,0.916098979,0.770251252,0.81292473,0.764638046,0.515128009,0.69380793
P0CE47,tufA,1.013850403,0.872999333,1.038736493,0.887032617,0.102393691,0.279199477,0.509771637,0.7667715,0.619747823,0.630906512,0.8183835,1.302349432,0.986543431,0.936299369,0.920649313,0.926911565,0.563424361,0.755349339
P06959,aceF,1.042095284,0.935497065,1.160833255,0.285409576,0.068617547,0.117177456,0.380807361,0.444697943,0.467187097,0.319588831,0.550794106,2.163162796,1.346479007,0.525266344,0.72835598,2.582517666,0.323629501,0.366196611
P05055,pnp,1.029816188,0.962671105,1.004481848,0.90693886,0.121862145,0.174060674,0.545323169,0.801346861,0.872083666,0.797063796,0.945088375,1.173127277,1.001393703,1.034065017,0.95910753,0.848727417,0.558388717,0.544310895
P09373,pflB,1.183011244,0.819595955,1.107319402,0.479879658,0.158131247,0.222772321,0.087397297,0.189682569,0.448473346,0.351668065,1.112279344,0.843235617,0.721567673,0.742145791,0.457180786,0.450645597,0.113782959,0.116908146
P00961,glyS,0.996919293,0.910860971,1.07523199,0.401923752,0.084703274,0.10476319,0.206947773,0.436773688,0.558840024,0.471097253,0.961286353,1.694567817,0.973108023,0.875642462,0.703773477,0.553641929,0.211832339,0.224148641
P0ABB0,atpA,0.959960806,0.941114791,0.981391528,1.191094637,0.25144096,0.397724163,0.857480549,1.301330893,1.101586775,1.153824967,1.389919617,0.95502057,1.182521687,1.575976686,1.441635223,1.647300735,1.034041571,1.119292337
P0A6Z3,htpG,0.973725783,0.875591212,1.06699212,0.682668422,0.15406143,0.257296023,0.340794822,0.697328394,0.583049166,0.711889534,1.107672348,2.666788448,0.956426269,0.96684281,0.960667505,0.692978212,0.427392422,0.494779236
P0A825,glyA,0.972893915,1.080701139,0.910864392,0.95254184,0.078302423,0.130254569,0.251115498,0.562191892,0.676230522,0.503298433,0.710269747,0.216234835,1.087865158,0.755090547,0.78349656,0.740580262,0.291126797,0.31849473699999997
P0A6E4,argG,0.990204028,1.146326278,0.945064648,0.59200072,0.051947604,0.06378052,0.160406857,0.464694381,0.433351193,0.333305144,0.594484279,0.061525612,0.758005646,0.473594205,0.506908506,0.5780342,0.236329744,0.235733794
P16659,proS,0.825800592,0.991035199,1.022515834,1.019276162,0.087724243,0.15400987,0.410788615,0.728480636,0.639780294,0.597286105,0.876331725,1.014964035,0.879992355,0.811088036,0.785819977,0.789279801,0.432107818,0.555045326
P0AFG3,sucA,0.981955891,0.850019972,0.845182144,0.327280303,0.172165215,0.191099638,0.29981251,0.798704882,0.358225389,0.865389838,0.799528117,1.331677363,0.986562572,1.113356332,1.438191845,1.522143681,0.354387889,0.490596869
P0A6F3,glpK,0.983416598,0.910954984,0.944629164,0.908193435,1.005780556,1.048988307,1.58387519,1.073276306,1.357838553,1.039699863,65.8280768,17.26230821,1.129310804,1.296163884,1.039315736,1.014045814,1.386379478,1.30839109
P0A799,pgk,1.004106301,1.105842814,1.04628183,1.337268305,0.383517178,0.625722695,0.983705671,1.045183431,1.164141841,1.083350462,1.205235469,0.967639524,1.046046456,1.01808591,0.899311467,1.060003699,0.998759785,1.048223862
P25553,aldA,1.149504561,0.754251598,0.908154726,0.531185491,0.229833908,0.3615197,5.290187328,3.722953744,8.507147365,6.01193296,5.710511365,1.622905317,2.316847305,7.137712689,5.738187317,4.933572865,5.674966963,4.579223055
P0A6P9,eno,1.02775049,1.043612493,1.043443555,1.435694706,0.229062159,0.481791008,0.67115953,0.847607869,0.885941263,0.764534871,0.967999283,0.890219993,1.126840363,0.796654335,0.663919626,0.995361196,0.618676821,0.620827072
P0A9C5,glnA,0.744604431,0.94214684,0.748249116,0.53203426,0.211917395,0.215044474,0.207272307,0.481221318,0.442032256,0.246265735,0.505053264,0.184484484,0.68454558,0.372964936,0.406972446,0.402950175,0.325127146,0.345004937
P00370,gdhA,0.880529622,0.941581987,0.835791296,0.316923658,0.062803408,0.063348538,0.119219652,0.606063669,0.399544703,0.468108221,0.602195306,0.047180611,0.750277216,0.45505457,0.454611065,0.6088497,0.191200187,0.371600414
P09832,gltD,1.05570673,1.084722976,0.962099601,0.83242116,0.269925261,0.197076562,0.177354689,0.495660482,0.384039663,0.302340165,0.44491497,0.090569968,0.619188723,0.310493799,0.34945951,0.312679508,0.243645803,0.294698293
P00350,gnd,0.908081333,1.054463361,1.002081773,0.56988156,0.111610349,0.208528802,0.106517218,0.3666228,0.344627432,0.325515792,0.571072249,0.751376689,0.76430534,0.544414893,0.573541212,0.584308851,0.131998942,0.192414467
P0A9B2,gapA,1.078712657,0.974059229,1.011540459,1.262100539,0.159314663,0.342200007,0.476002477,0.815141213,0.556681717,0.652969041,0.86953457,0.808177114,0.801262996,0.657872543,0.672346871,0.586885478,0.423538607,0.5759692
P0AD61,pykF,0.926882983,0.992071712,0.973947017,0.972631996,0.16756242,0.300824582,0.46850781,0.671076275,0.625783019,0.483616744,0.81476428,0.995685261,0.886198795,0.433202741,0.440837429,0.484885592,0.408189921,0.48133007
P0A940,yaeT,0.992862333,0.993227573,1.16128516,0.647404847,0.282317668,0.212838227,1.723285211,0.790929114,1.052934337,0.747612438,1.004512637,0.634327579,1.041907407,0.729281609,0.870938428,0.981442472,1.021332669,0.732038512
P0A9G6,aceA,1.151415168,0.753765651,0.957433022,0.80942851,0.116246024,0.131789889,4.939504222,3.166900696,5.582235258,7.245209002,2.345326636,0.434856109,1.207726231,3.293639244,2.849771224,1.558365032,5.221085388,4.044961034
P0A7D4,purA,0.944896347,0.986929286,0.928624553,0.826370529,0.10729728,0.187815088,0.597447643,1.060508866,0.657474787,0.835073725,0.965290349,1.049400908,1.245490913,0.79258854,0.783672944,1.596703397,0.670139243,0.77930522
P15639,purH,0.96735382,0.958278537,0.877271324,0.582238846,0.089364023,0.118942014,0.105269492,0.436051214,0.251078714,0.269801355,0.583729376,0.102749384,0.857221896,0.500255854,0.590991876,0.852060301,0.129218641,0.228970451
P0AC41,sdhA,1.078431098,0.923000757,0.837899095,0.479668322,0.245772498,0.21984279,0.868163547,1.760933876,0.681793481,1.810831991,1.247120517,1.402963871,1.119634081,1.97467851,2.435764922,2.416082821,1.156407914,1.437252132
P0AEE5,mglB,0.929553205,0.926890484,0.961052478,1.137040047,7.548171767,4.623993879,49.8535533,16.16963574,77.57741844,19.71660603,10.81650019,5.197188727,3.11475999,16.69892447,14.80108617,9.755312559,45.95732045,38.15429755
P13035,glpD,1.428884217,1.489170451,1.424086726,1.225645229,4.282793934,4.072815316,1.385972186,1.026684464,1.87570702,1.589469324,106.4326359,49.43239241,1.722659154,1.793183688,1.395025591,1.337673483,2.224134375,2.560415
P0A6P1,tsf,0.992456851,0.958931616,0.943265408,1.204102849,0.328080442,0.478186272,0.594460739,0.90403389,0.650677678,0.680370978,0.769174554,1.797829248,0.848820238,0.700290938,0.788871071,0.67935909,0.610643386,0.839679094
P27302,tktA,1.017433748,0.934726846,0.913185146,0.506065601,0.07685393,0.08260551,0.091300263,0.496821678,0.347423845,0.4455865,0.951852851,0.976570286,0.876603749,1.087116152,1.031279671,0.633381148,0.127060251,0.209365166
P09151,leuA,1.001457189,0.80991134,1.126757946,0.702421618,0.06873638,0.060826696,0.902285323,0.751363058,1.15103462,1.211121966,1.025616122,0.098810169,0.896877924,0.80835135,0.841917492,0.490983598,0.73281366,0.696052856
P21889,aspS,1.075678103,1.094738259,1.03805939,0.713916696,0.187954004,0.132292025,0.263550289,0.699064851,0.460060244,0.482840241,0.754837778,1.238846627,0.830366739,0.706791786,0.747438939,0.672228615,0.319554493,0.437088647
P0A817,metK,0.975397855,1.254163936,1.00544045,1.078688307,0.044601325,0.052176006,0.389699353,0.708339133,0.561946321,0.381291798,0.617982536,0.470341607,0.900931154,0.60478317,0.714943851,0.866460761,0.436192744,0.456149931
P0A9A6,ftsZ,0.975983665,1.04411283,1.057356492,1.253975839,0.190587882,0.184252726,0.829573834,0.964933992,0.820952541,0.795061366,0.865822364,0.949772792,1.106109939,0.847801354,0.855232334,0.79562173,0.849816375,0.897879254
P0AG30,rho,1.028696101,1.040456769,0.984940286,0.731843933,0.065329524,0.130979853,0.384015546,0.67380841,0.650802061,0.663582272,0.817265602,1.574355829,0.923572585,0.824689935,0.782037154,0.680027347,0.379129646,0.459840545
P37689,gpmI,0.954883455,0.884656572,1.043485023,1.454744504,0.211545322,0.30013583,0.24965604,0.702267377,0.500395706,0.18354005,0.786590509,0.840953995,0.794826571,0.308336844,0.263954993,0.243141064,0.262362116,0.293070282
P0AC33,fumA,1.123800567,0.990795403,0.975603451,0.829157839,0.157425101,0.140394875,1.047988203,2.737261467,1.170578291,2.771889186,1.45234171,1.597209053,1.420557405,2.74867904,3.462406734,2.795227329,1.379705199,2.021036232
P13029,katG,0.818538444,0.6850019,1.099415288,0.671532852,0.11979652,0.121038052,1.566181383,1.145658712,1.936586532,1.027201969,1.087491466,0.732495711,1.218791787,0.9825464,1.168719852,1.230046386,1.324216071,1.213733563
P23865,prc,1.017909211,1.157421012,1.09047832,1.349597945,1.372812204,0.577264082,1.308423591,1.092664179,1.04177365,1.023834124,1.064309195,0.712593219,1.121788637,0.998089092,1.018598798,1.112260809,1.262472883,1.177730073
P61889,mdh,1.025472255,0.977523181,1.133145228,1.335846629,0.174378679,0.303265155,1.849867848,2.318896453,1.725430166,3.43781764,1.604669541,0.523541375,1.268076673,2.385367659,2.34094704,3.261966591,2.392505795,2.462371229
P32132,typA,1.08273938,0.92408808,0.95608157,0.526116283,0.143180098,0.170297076,0.125048932,0.331363671,0.319906375,0.239411241,0.475683564,1.283279716,0.681610248,0.365917398,0.411741149,0.433903709,0.180795297,0.228480854
P07395,pheT,1.035375289,0.620957275,0.920525746,0.210221254,0.0815487,0.111782063,0.099025953,0.325434961,0.312182593,0.269362646,0.826258601,1.425990158,0.59930135,0.496367636,0.56303495,0.31090279,0.158988024,0.251775141
P22259,pckA,0.990961556,0.904933158,1.031832779,1.155685001,0.229083782,0.400784122,4.626278303,3.861325521,4.272500718,5.013890286,4.472776066,3.244498656,2.364054547,7.59745493,6.340761967,6.795457479,5.11348858,4.57709593
P00962,glnS,0.929496844,0.803692626,0.964722672,0.684008247,0.142667779,0.181191312,0.311830216,0.604550391,0.381021508,0.4231496,0.697894545,1.070901679,0.818547457,0.708134924,0.74440454,0.674600556,0.361707677,0.416499617
P37330,glcB,0.984941558,0.881615561,0.997359165,0.640696162,0.641130988,0.679498578,4.211574698,2.964459591,4.112886167,6.788568982,3.269048704,0.738743292,0.923466724,2.748190432,2.78340055,1.776311146,5.749725192,5.341436055
P76558,maeB,1.115067935,0.492348262,0.866537791,0.185682975,0.228424787,0.267167347,1.057386728,1.797887745,1.20733099,1.716201819,1.515810269,1.552263805,1.249707192,1.764948139,3.0097198,2.040957752,1.361678381,1.831469692
P0A9P0,lpdA,1.043584069,0.723577204,1.031742965,0.507245918,0.288579034,0.399103963,0.372203356,0.803033966,0.714353301,0.691537993,0.781793749,1.296808836,1.057497708,1.065233408,1.20534897,1.776364655,0.480730305,0.561185611
P37902,gltI,1.009363084,1.26147606,1.028667886,1.705379551,4.549907978,2.762893498,4.456178337,1.970956925,2.153095838,1.907847359,1.472510953,0.251186966,1.032249278,1.480896354,1.450751755,1.735737398,3.358744675,2.571962701
P21513,rne,1.103902774,0.793909073,1.024795407,0.726831289,0.140423858,0.194229569,0.351496553,0.434560492,0.365863504,0.262863769,0.438385726,1.177794814,0.702449188,0.356751389,0.440084103,0.444982962,0.370703871,0.368825646
P23538,ppsA,0.857232111,1.286338518,1.00477658,0.444257634,0.136186064,0.129745028,0.309402524,0.648579105,0.761620765,1.180450295,1.302938544,0.426379709,1.230720834,1.978999082,2.320426652,2.609547257,0.39032169,0.409546981
P17846,cysI,1.067191572,0.80780148,1.024061651,0.693026759,0.058362197,0.051962507,0.230963439,0.573539508,0.400939516,0.422143573,0.77605727,0.107205421,0.83066809,0.760053071,0.749036732,0.54413516,0.249423371,0.423221056
P0A9M0,lon,1.003260526,0.814233715,0.987992328,0.554219447,0.36902687,0.353474188,0.192531013,0.419762521,0.336478897,0.276245604,0.645274266,1.496133564,0.6234371,0.510585185,0.582143422,0.466156591,0.215951345,0.290248715
P0AFF6,nusA,1.028679589,1.140769231,1.008884205,1.056768224,0.197361584,0.240605609,0.572612691,1.008179346,0.897898984,0.802352609,0.967180242,1.704197948,0.996061796,0.977151647,0.984061721,0.825468567,0.663548076,0.766543344
P0ABZ6,surA,1.0768404,1.165552871,1.055417091,1.337392699,1.325732576,0.777197997,2.364433208,1.265784745,1.529778298,1.129071999,0.994239689,1.087753797,1.144192353,1.001805145,1.137284078,1.24391438,1.897123724,1.388690954
P0A9W3,yjjK,0.838275061,0.55775481,0.941579348,0.43995741,0.097942626,0.1274163,0.243915305,0.487988387,0.396813349,0.341203522,0.739704617,0.986475238,0.628074349,0.655591343,0.769736867,0.656208274,0.246008038,0.31618899
P0AEX9,malE,1.279169344,1.112565835,0.963991395,0.706054849,0.467843077,0.958742236,14.49552106,8.772434041,4.184973734,4.009285224,2.8391482,2.917908277,1.267455279,3.640845521,3.303364962,3.729637557,17.2989105,15.79716963
P00509,aspC,0.961238267,0.945865621,1.02810616,0.392003864,0.114456037,0.131133429,0.175353578,0.617700005,0.590792528,0.768922886,1.349111313,0.383403488,0.952018862,1.068097741,1.071099312,0.710718243,0.220291266,0.355048636
P04816,livK,1.098901846,1.090156092,0.990267308,1.232990342,1.50555658,0.783601629,1.469359184,1.28503485,1.034530183,0.747237597,1.060455854,0.10192302,0.985813883,1.350144424,1.218631808,0.92307735,1.531826112,1.481884699
P38038,cysJ,0.87633186,0.597145363,0.907138747,0.246156968,0.094803243,0.097323336,0.104782647,0.307802565,0.320484656,0.304943348,0.54263928,0.047745726,0.700667738,0.360134845,0.508774019,0.403450461,0.099482886,0.16475465
P16700,cysP,1.075842461,1.111336469,1.154926999,0.884521651,1.173503042,0.908441414,1.930619388,1.334056474,1.469289514,1.657583575,0.912615083,0.119411043,1.03090127,1.340080734,1.37163628,1.254518209,1.500108569,1.267905805
P0AG80,ugpB,1.030279631,0.810103508,0.747944593,1.071646212,1.756951815,0.989169829,6.333756506,1.274289136,2.185917664,1.482414756,1.125176235,1.207546456,1.102757177,1.063145586,0.971530298,1.360624117,3.750154898,1.958615547
P00864,ppc,1.065428481,0.871425894,0.839880554,0.243986852,0.119382071,0.188439105,0.058160819,0.068115791,0.129800979,0.073370944,0.511844739,0.244445983,0.589996547,0.252042894,0.132001006,0.075011262,0.057076278,0.09225628
P0AB71,fbaA,1.071744992,1.097182649,0.968283266,1.031119575,0.167157267,0.333290133,0.617307176,0.790514374,0.908954186,0.81009008,0.975769,0.791728437,0.877697292,0.770370246,0.841058273,0.871044625,0.547845012,0.533812784
P0A786,pyrB,1.023429448,1.196266476,0.913297184,0.504004071,0.120804824,0.195338625,0.407276323,0.809886008,0.866625542,0.678102771,1.031673195,0.057729566,0.989853128,1.077151132,1.076485083,0.83225859,0.251668062,0.422864384
P0A953,fabB,0.98923165,1.007689701,1.019240879,0.931323877,0.168931978,0.26663921,0.900091246,0.937654378,0.974009372,0.850209355,1.048015189,1.20546966,0.97483204,1.137990022,1.127743098,1.015365006,0.878919639,0.805773118
P00934,thrC,0.885458418,1.012960954,1.101602922,0.505834971,0.104272514,0.20962147,0.133669231,0.494185766,0.388512543,0.312839892,0.811285181,0.175470819,0.887723744,0.862194894,0.818157704,0.733163498,0.153984705,0.222114333
P0ABH7,gltA,1.124074074,0.799182528,0.87321402,0.197162366,0.063301723,0.116609631,0.225804641,0.630920648,0.787297313,1.570848336,1.627998763,0.593523911,0.871379865,2.058018836,1.223261201,0.963010832,0.307643718,0.340367806
P0A8L1,serS,0.944898648,1.002925567,1.027376597,0.702106351,0.246430016,0.296160351,0.317872587,0.728483062,0.540230596,0.636573357,0.795316757,1.714895609,0.794686565,0.796057031,0.872056653,0.764728248,0.354349013,0.348941467
P04805,gltX,0.947911838,0.868021322,0.898142668,0.978614158,0.332708561,0.415825114,0.44462962,0.628725146,0.427643832,0.431866877,0.655131205,1.05727706,0.66085731,0.678642006,0.685559435,0.550064067,0.409687328,0.443554452
P33136,mdoG,1.041799716,1.092805871,1.043397509,1.449979283,1.16155881,0.767597025,1.760612326,1.204363847,1.105071102,0.980824007,0.968100383,0.878202964,0.85316133,0.835573131,0.963060716,0.910836,1.320558725,1.128913118
P36938,pgm,0.898045384,0.922657508,0.984487812,0.596844012,0.14394134,0.165887876,0.469926757,0.791763442,0.847491533,0.864857504,1.076718322,1.167420128,0.920645847,0.926067884,0.955244494,0.906554002,0.56839556,0.51568311
P26616,maeA,1.051138453,0.911007748,0.887339875,0.582036253,0.094061625,0.263813343,0.318198735,0.917859496,0.592968635,0.811227208,1.014546752,1.387564186,0.752736172,1.116742944,1.463160194,0.918658963,0.307004187,0.472899123
P0AES6,gyrB,0.984366008,0.802975392,0.923957501,0.303928787,0.158679162,0.218337478,0.13555958,0.315764675,0.316821581,0.272088663,0.618872539,1.221593305,0.660806097,0.513560041,0.566891752,0.46764651,0.163029953,0.186382367
P15254,purL,0.851908376,0.488853706,0.808509622,0.17326293,0.103570964,0.128605824,0.075212701,0.179305372,0.141104471,0.1061085,0.72095073,0.170299191,0.697803425,0.456197346,0.406461037,0.253598609,0.116661524,0.18814429
P0ABK5,cysK,0.914867994,0.961796462,1.04696145,0.896127244,0.139183727,0.194813318,0.659029008,0.819708437,0.831452651,1.017111439,0.962279588,0.080502901,1.067171502,0.99707584,1.042824971,1.029046838,0.576675304,0.587056658
P62399,rplE,0.99603413,1.037759286,0.975350859,1.071495708,0.40886524,0.433817319,0.466690838,0.83913705,0.658942942,0.719265795,0.792182902,2.136625651,1.052297226,0.830676493,0.779174095,0.713245954,0.613104423,0.644632546
P0A7L0,rplA,1.049209348,1.098135238,0.989744325,1.581838621,0.255291351,0.508991782,0.683377108,1.022612774,0.697119471,0.724464539,0.749877541,2.316104413,0.944243351,0.686916558,0.807660099,0.803739502,0.672427316,0.918739324
P0A7Z4,rpoA,0.938844859,1.078383616,1.005098834,0.896010518,0.159762128,0.226388592,0.650929158,0.920592489,0.863822974,0.813574581,0.961480628,1.677444983,0.989608324,0.894767703,0.923551097,0.730184432,0.617489432,0.750239352
P23721,serC,0.994729674,1.020838858,1.087212168,0.837537188,0.159199289,0.193007134,0.20300164,0.525911503,0.486509128,0.434315819,0.591678461,0.138573577,0.737856854,0.525015901,0.526890416,0.582196881,0.266143632,0.296757353
P0A870,talB,0.853789316,0.922313235,1.025246411,0.835306284,0.303038838,0.433979397,0.428303047,0.789866686,0.726803738,0.641937127,1.059391382,1.014739943,0.965784742,0.954995292,0.962992383,0.875761443,0.44650383,0.54806925
P0AEQ3,glnH,1.024642577,0.996484271,1.121813262,0.882316696,6.293259923,3.750660629,5.668166192,1.991121637,2.914439644,2.569870517,1.782459178,0.567299294,1.39977782,2.435645374,1.997496186,3.386243519,4.746979097,3.885651044
P08142,ilvB,0.960210813,0.721937274,1.078475312,0.322792053,0.093660191,0.112012021,0.273536899,0.813770773,0.606414235,0.805500725,1.276859294,0.53972645,0.894588055,1.239723071,1.496954814,0.620346247,0.390899182,0.541302951
P0A7E5,pyrG,0.969934389,0.634894094,0.827658075,0.228201614,0.222939751,0.202182703,0.106836249,0.347370889,0.299914595,0.264514658,0.688084539,1.640128795,0.860247585,0.54273765,0.598409901,0.561284716,0.150828663,0.223739381
P0A9M8,pta,1.050609768,1.031241776,0.999421847,0.384893394,0.550365574,0.79529926,0.299504181,0.46590674,0.571835239,0.587854459,0.990215188,2.7581415,1.255108146,0.857743268,0.844028209,1.731494067,0.353415869,0.410353298
P19926,agp,0.897396681,1.078460682,0.970971915,1.213898808,1.365483406,2.911398893,20.94982702,4.461914474,6.726414636,6.050049556,2.745462302,1.028930828,1.73560432,3.840612502,3.004837447,3.510481822,12.39316269,6.026208525
P09831,gltB,1.040255435,0.617957157,0.692020958,0.277532432,0.220076024,0.1670887,0.036247356,0.074777297,0.080009537,0.043060511,0.241255101,0.081276649,0.344613181,0.143829972,0.112369057,0.067999821,0.036145463,0.081545188
P08331,cpdB,1.032771678,0.970275384,1.146674634,1.565639495,0.679846219,0.859747348,8.288754706,3.728822442,2.836554891,3.20315094,2.07256353,1.45830954,1.495474323,2.688271203,2.608567302,2.724464801,6.415950476,4.121308362
P0A853,tnaA,1.011762502,1.21013894,1.148755386,1.254396075,1.534126111,1.52347888,14.22342291,6.252802574,5.232745534,10.09813145,5.497582741,88.76656196,2.358668176,8.921194732,8.387920055,3.480368928,12.57455433,8.81283397
P0AD96,livJ,0.992091987,1.180735082,1.093806902,1.275387091,2.026831255,1.07743517,2.946694415,1.777364065,1.616516199,1.516827574,1.307213238,0.046214638,1.015741835,1.543247778,1.402417893,1.54704699,3.178722977,2.448411376
P0A9Q9,asd,0.862614641,0.972824021,1.007251109,0.685218721,0.082911691,0.138243803,0.147930209,0.513642877,0.390591772,0.427485963,0.599805162,0.111719598,0.801890215,0.548470911,0.581767242,0.569631898,0.186380121,0.240943876
P0A8N3,lysS,0.927111916,0.976280476,1.022856124,0.335412447,0.174906997,0.118898478,0.10550426,0.322294097,0.419172043,0.335510056,0.798250801,1.554869537,0.827611698,0.759951425,0.573314275,0.300512521,0.111000247,0.148502504
P76108,ydcS,0.727671114,0.837217893,0.907024669,0.812845705,9.721692483,6.700588979,30.11220421,3.576806206,9.062520772,4.105280899,4.413106277,1.122383035,2.196449778,3.425029301,2.375306552,4.466700629,17.8219009,9.161086867
P0A6A3,ackA,0.967331248,1.010771221,1.093500312,0.64630595,0.321161809,0.64270152,0.649931556,0.608348009,0.962732695,0.691926485,1.061549251,4.788666631,1.741181764,0.985367218,0.878462815,2.602187382,0.540782492,0.463328496
P0AEM9,fliY,1.118623034,1.533676945,1.03203077,1.552031888,2.509198187,1.501365206,3.297375674,2.39249206,2.204036094,2.35722398,1.367324763,0.210078564,1.97303836,1.212438406,1.486240042,2.549806347,3.173504745,3.761222002
P0C0V0,degP,0.847109904,0.953447136,1.014940217,1.028112099,1.336643742,0.588961564,1.564405357,0.686263634,0.858047397,0.614243872,0.738472194,0.510695931,0.626182516,0.629154051,0.700980983,0.672842342,1.107901772,0.79840343
P0A6H1,clpX,1.042835239,1.066440371,1.120099667,0.772162762,0.101102614,0.132836855,0.296491571,0.706958265,0.630113688,0.588870978,0.971730929,1.120615579,1.02922595,0.777177566,0.782213248,0.681210404,0.38585025,0.555456966
