uniprot,gene_name,medianRatio_50 mM NaCl_vs_glucose,medianRatio_pH 6_vs_glucose,medianRatio_42°C_vs_glucose,medianRatio_anaerobic_vs_glucose,medianRatio_stationary 1 day_vs_glucose,medianRatio_stationary 3 days_vs_glucose,medianRatio_chemostat µ=0.12_vs_glucose,medianRatio_chemostat µ=0.5_vs_glucose,medianRatio_galactose_vs_glucose,medianRatio_acetate_vs_glucose,medianRatio_glycerol_vs_glucose,medianRatio_LB_vs_glucose,medianRatio_glucosamine_vs_glucose,medianRatio_fumarate_vs_glucose,medianRatio_succinate_vs_glucose,medianRatio_pyruvate_vs_glucose,medianRatio_chemostat µ=0.20_vs_glucose,medianRatio_chemostat µ=0.35_vs_glucose
P15078,cstA,0.04729205,0.010136726,4.057608442,1.121126876,0.016692161,0.421123449,1.711847725,1.579825669,3.074138219,0.493445944,9.827483935,0.147364165,1.456571745,2.003540863,1.286700485,2.504696932,0.399352119,1.312887492
P0AB46,ymgD,4.261304419,0.495203899,2.241521794,9.370762209,63.25585703,49.75919858,0.424257423,0.130182892,0.16583623,0.311035112,0.089631288,0.449318552,1.889267524,0.776014581,0.271949717,6.756667124,5.203913269,5.639855028
P14294,topB,0.265742716,0.25165177,0.438688493,1.738283289,0.450011737,1.642075773,0.371414146,0.507509951,0.446166028,0.285152217,0.146096841,3.100397601,0.629737002,0.209477475,0.588013646,0.29965803,0.894213219,1.254200085
P0AD37,yfeC,0.98000582,1.00574075,1.374603178,1.255831287,0.037407591,0.082395992,0.976473189,2.602700543,1.266229046,2.61955697,1.98893358,4.42701128,1.730840404,3.439021737,3.503711789,3.074779532,2.515691064,4.81505647
P24230,recG,1.302769855,0.624383177,0.753633681,0.101402485,0.156631473,0.093531008,0.021269504,0.106353096,0.311947362,0.376729196,10.30149667,6.573543767,0.627608894,0.211875016,1.321241356,0.115679407,0.001178105,0.003889848
P08395,sppA,0.603877772,0.395783069,0.891544027,2.344646032,0.936008081,0.129523546,4.170711038,1.331042763,0.629867219,0.708905762,1.250573968,1.716353524,0.830121704,0.267003413,1.417625306,3.695161447,3.932903622,1.745949752
P77611,rnfC,1.509464428,0.442389213,0.405865309,3.439935909,3.691201862,0.193403737,21.06728,6.292488036,2.42599954,2.422841477,1.702355592,3.205288468,0.376863022,1.885180959,3.205609641,2.729401031,21.23217244,25.55734158
P39401,mdoB,0.569311204,0.212607864,2.008085979,1.10975719,0.212607864,0.656885791,41.1568305,9.477052145,5.786818344,17.66007803,2.423867186,0.212607864,9.641232924,7.776916084,9.381608596,16.86264624,45.39478426,13.44198407
P54746,mngB,0.173525524,0.197513436,0.56452149,0.365155168,0.702772326,0.612384014,5.86978567,2.523774073,1.585761647,1.521668363,0.206107646,1.004039164,1.150146597,1.447681842,1.486492497,88.5381777,13.74322167,24.76044254
P17109,menD,2.133433351,1.543737787,7.175000486,2.295089912,1.048200721,1.063757455,1.667490477,1.646695744,0.557049387,1.781254652,1.382333142,20.61191585,0.481924265,1.058249925,0.502685866,1.992651265,28.31862069,0.176221669
